"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","17",17,0,0,0,0
"2","Albany* GA MSA","36",36,0,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","168",140,2,0,26,4
"4","Albuquerque* NM MSA","694",687,0,7,0,0
"5","Alexandria* LA MSA","29",27,2,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","205",167,0,0,38,2
"7","Altoona* PA MSA","12",12,0,0,0,0
"8","Amarillo* TX MSA","45",45,0,0,0,0
"9","Anchorage* AK MSA","129",93,32,4,0,0
"10","Anniston* AL MSA","24",18,0,0,6,1
"11","Appleton-Oshkosh-Neenah* WI  MSA","184",125,22,4,33,4
"12","Asheville* NC MSA","115",113,2,0,0,0
"13","Athens* GA MSA","124",75,6,3,40,3
"14","Atlanta  GA MSA","5384",4608,8,0,768,23
"15","Auburn-Opelika* AL MSA","75",37,2,0,36,4
"16","Augusta-Aiken* GA-SC MSA","233",233,0,0,0,0
"17","Austin-San Marcos* TX MSA","1283",685,2,0,596,26
"18","Bakersfield* CA MSA","239",231,0,8,0,0
"19","Bangor* ME MSA","8",8,0,0,0,0
"20","Barnstable-Yarmouth* MA MSA","91",91,0,0,0,0
"21","Baton Rouge* LA MSA","184",145,0,0,39,3
"22","Beaumont-Port Arthur* TX MSA","57",57,0,0,0,0
"23","Bellingham* WA MSA","142",95,4,4,39,3
"24","Benton Harbor* MI MSA","12",12,0,0,0,0
"25","Billings* MT MSA","53",53,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","180",180,0,0,0,0
"27","Binghamton* NY MSA","3",3,0,0,0,0
"28","Birmingham* AL MSA","388",368,0,0,20,1
"29","Bismarck* ND MSA","33",29,4,0,0,0
"30","Bloomington* IN MSA","70",50,10,0,10,1
"31","Bloomington-Normal* IL MSA","105",74,0,0,31,1
"32","Boise City* ID MSA","807",482,10,108,207,17
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","984",881,42,6,55,8
"34","Brownsville-Harlingen-San  Benito* TX MSA","246",214,6,16,10,2
"35","Bryan-College Station* TX MSA","133",110,0,0,23,2
"36","Buffalo-Niagara Falls* NY MSA","183",148,0,0,35,4
"37","Burlington* VT MSA","38",28,6,4,0,0
"38","Canton-Massillon* OH MSA","78",76,2,0,0,0
"39","Casper* WY MSA","5",5,0,0,0,0
"40","Cedar Rapids* IA MSA","149",83,2,4,60,5
"41","Champaign-Urbana* IL MSA","44",44,0,0,0,0
"42","Charleston-North  Charleston* SC MSA","662",297,28,0,337,22
"43","Charleston* WV MSA","28",28,0,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1717",1368,16,29,304,33
"45","Charlottesville* VA MSA","121",111,0,0,10,2
"46","Chattanooga* TN-GA MSA","287",218,0,23,46,6
"47","Cheyenne* WY MSA","29",29,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3697",2774,34,150,739,60
"49","Chico-Paradise* CA MSA","79",79,0,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","1227",976,16,23,212,15
"51","Clarksville-Hopkinsville*  TN-KY MSA","266",146,0,112,8,1
"52","Cleveland-Akron  OH CMSA","1074",898,6,15,155,10
"53","Colorado Springs* CO MSA","571",560,2,4,5,1
"54","Columbia* MO MSA","145",121,12,0,12,2
"55","Columbia* SC MSA","366",361,0,0,5,1
"56","Columbus* GA-AL MSA","108",84,16,0,8,1
"57","Columbus  OH MSA","1333",816,16,84,417,38
"58","Corpus Christi* TX MSA","58",58,0,0,0,0
"59","Corvallis OR MSA*","31",31,0,0,0,0
"60","Cumberland* MD-WV MSA","10",10,0,0,0,0
"61","Dallas-Fort Worth  TX CMSA","4561",3538,16,3,1004,30
"62","Danville* VA MSA","33",30,0,3,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","51",51,0,0,0,0
"64","Dayton-Springfield* OH MSA","157",157,0,0,0,0
"65","Daytona Beach* FL MSA","392",387,0,0,5,1
"66","Decatur* Al MSA","36",31,0,0,5,1
"67","Decatur* IL MSA","14",14,0,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","2888",2364,8,0,516,24
"69","Des Moines* IA MSA","220",201,8,0,11,2
"70","Detroit-Ann Arbor-Flint  MI  CMSA","1842",1601,36,78,127,16
"71","Dothan* AL MSA","41",33,0,3,5,1
"72","Dover* DE MSA","88",88,0,0,0,0
"73","Dubuque* IA MSA","17",17,0,0,0,0
"74","Duluth-Superior* MN-WI MSA","40",23,4,0,13,1
"75","Eau Claire* WI MSA","70",52,10,8,0,0
"76","El Paso* TX MSA","372",309,24,8,31,3
"77","Elkhart-Goshen* IN MSA","85",85,0,0,0,0
"78","Elmira* NY MSA","15",4,0,0,11,1
"79","Enid* OK MSA","4",4,0,0,0,0
"80","Erie* PA MSA","35",32,0,3,0,0
"81","Eugene-Springfield* OR MSA","171",126,4,0,41,6
"82","Evansville-Henderson* IN-KY  MSA","116",110,0,0,6,1
"83","Fargo-Moorhead* ND-MN MSA","35",33,2,0,0,0
"84","Fayetteville* NC MSA","112",88,0,0,24,3
"85","Fayetteville-Springdale-  Rogers* AR MSA","309",160,22,24,103,7
"86","Flagstaff* AZ-UT MSA","45",45,0,0,0,0
"87","Florence* AL MSA","18",11,2,0,5,1
"88","Florence* SC MSA","59",50,0,0,9,1
"89","Fort Collins-Loveland* CO MSA","257",224,2,7,24,2
"90","Fort Myers-Cape Coral* FL MSA","1134",449,36,51,598,31
"91","Fort Pierce-Port St. Lucie*  FL MSA","218",195,0,8,15,3
"92","Fort Smith* AR-OK MSA","50",42,4,4,0,0
"93","Fort Walton Beach* FL MSA","120",111,0,0,9,1
"94","Fort Wayne* IN MSA","270",264,6,0,0,0
"95","Fresno  CA MSA","323",295,12,16,0,0
"96","Gadsden* AL MSA","5",5,0,0,0,0
"97","Gainesville* FL MSA","226",106,2,0,118,7
"98","Glens Falls* NY MSA","16",16,0,0,0,0
"99","Goldsboro* NC MSA","40",40,0,0,0,0
"100","Grand Forks* ND-MN MSA","4",4,0,0,0,0
"101","Grand Junction* CO MSA","131",127,4,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","732",559,8,17,148,9
"103","Great Falls* MT MSA","14",10,0,4,0,0
"104","Green Bay* WI MSA","124",85,10,0,29,3
"105","Greensboro--Winston-Salem--  High Point  NC MSA","943",860,2,13,68,6
"106","Greenville* NC MSA","166",74,12,0,80,5
"107","Greenville-Spartanburg-  Anderson* SC MSA","630",586,16,3,25,3
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","313",154,0,3,156,22
"109","Hartford* CT MSA","223",196,22,0,5,1
"110","Hattiesburg* MS MSA","7",7,0,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","180",165,6,4,5,1
"112","Honolulu  HI MSA","184",184,0,0,0,0
"113","Houma* LA MSA","75",75,0,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","2855",2783,2,9,61,2
