Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN010010,01,001,"Autauga County, AL",2001,"22,178     ","21,349     ",829     ,3.7     
PA011000,01,003,"Baldwin County, AL",2001,"69,850     ","67,118     ","2,732     ",3.9     
CN010050,01,005,"Barbour County, AL",2001,"11,331     ","10,559     ",772     ,6.8     
CN010070,01,007,"Bibb County, AL",2001,"9,150     ","8,586     ",564     ,6.2     
CN010090,01,009,"Blount County, AL",2001,"25,573     ","24,733     ",840     ,3.3     
CN010110,01,011,"Bullock County, AL",2001,"3,931     ","3,574     ",357     ,9.1     
CN010130,01,013,"Butler County, AL",2001,"9,067     ","8,445     ",622     ,6.9     
PA010250,01,015,"Calhoun County, AL",2001,"52,034     ","49,425     ","2,609     ",5.0     
CN010170,01,017,"Chambers County, AL",2001,"17,580     ","16,711     ",869     ,4.9     
CN010190,01,019,"Cherokee County, AL",2001,"11,449     ","10,975     ",474     ,4.1     
CN010210,01,021,"Chilton County, AL",2001,"19,650     ","18,792     ",858     ,4.4     
CN010230,01,023,"Choctaw County, AL",2001,"5,913     ","5,529     ",384     ,6.5     
CN010250,01,025,"Clarke County, AL",2001,"11,075     ","10,086     ",989     ,8.9     
CN010270,01,027,"Clay County, AL",2001,"6,420     ","6,065     ",355     ,5.5     
CN010290,01,029,"Cleburne County, AL",2001,"6,984     ","6,651     ",333     ,4.8     
CN010310,01,031,"Coffee County, AL",2001,"19,432     ","18,336     ","1,096     ",5.6     
PA010900,01,033,"Colbert County, AL",2001,"25,804     ","24,190     ","1,614     ",6.3     
CN010350,01,035,"Conecuh County, AL",2001,"5,313     ","4,959     ",354     ,6.7     
CN010370,01,037,"Coosa County, AL",2001,"5,342     ","5,012     ",330     ,6.2     
CN010390,01,039,"Covington County, AL",2001,"16,981     ","16,002     ",979     ,5.8     
CN010410,01,041,"Crenshaw County, AL",2001,"6,052     ","5,721     ",331     ,5.5     
PA010400,01,043,"Cullman County, AL",2001,"38,349     ","36,737     ","1,612     ",4.2     
PA010450,01,045,"Dale County, AL",2001,"20,304     ","19,277     ","1,027     ",5.1     
PA010500,01,047,"Dallas County, AL",2001,"17,582     ","16,105     ","1,477     ",8.4     
PA010270,01,049,"DeKalb County, AL",2001,"32,543     ","31,118     ","1,425     ",4.4     
CN010510,01,051,"Elmore County, AL",2001,"31,786     ","30,558     ","1,228     ",3.9     
CN010530,01,053,"Escambia County, AL",2001,"15,668     ","14,791     ",877     ,5.6     
PS010010,01,055,"Etowah County, AL",2001,"47,126     ","44,297     ","2,829     ",6.0     
CN010570,01,057,"Fayette County, AL",2001,"8,211     ","7,739     ",472     ,5.7     
CN010590,01,059,"Franklin County, AL",2001,"14,061     ","13,083     ",978     ,7.0     
CN010610,01,061,"Geneva County, AL",2001,"12,142     ","11,433     ",709     ,5.8     
CN010630,01,063,"Greene County, AL",2001,"3,519     ","3,290     ",229     ,6.5     
CN010650,01,065,"Hale County, AL",2001,"7,071     ","6,604     ",467     ,6.6     
CN010670,01,067,"Henry County, AL",2001,"7,609     ","7,236     ",373     ,4.9     
PA010550,01,069,"Houston County, AL",2001,"45,195     ","43,428     ","1,767     ",3.9     
PA010570,01,071,"Jackson County, AL",2001,"27,236     ","25,613     ","1,623     ",6.0     
PS010050,01,073,"Jefferson County, AL",2001,"329,122     ","316,153     ","12,969     ",3.9     
CN010750,01,075,"Lamar County, AL",2001,"7,269     ","6,734     ",535     ,7.4     
PA010600,01,077,"Lauderdale County, AL",2001,"43,163     ","40,586     ","2,577     ",6.0     
CN010790,01,079,"Lawrence County, AL",2001,"16,660     ","15,757     ",903     ,5.4     
PA010650,01,081,"Lee County, AL",2001,"58,810     ","56,611     ","2,199     ",3.7     
CN010830,01,083,"Limestone County, AL",2001,"33,583     ","32,251     ","1,332     ",4.0     
CN010850,01,085,"Lowndes County, AL",2001,"5,047     ","4,715     ",332     ,6.6     
CN010870,01,087,"Macon County, AL",2001,"8,981     ","8,506     ",475     ,5.3     
CN010890,01,089,"Madison County, AL",2001,"151,226     ","145,922     ","5,304     ",3.5     
CN010910,01,091,"Marengo County, AL",2001,"8,970     ","8,482     ",488     ,5.4     
CN010930,01,093,"Marion County, AL",2001,"12,986     ","11,958     ","1,028     ",7.9     
PA010700,01,095,"Marshall County, AL",2001,"40,250     ","38,222     ","2,028     ",5.0     
CN010970,01,097,"Mobile County, AL",2001,"185,365     ","175,856     ","9,509     ",5.1     
CN010990,01,099,"Monroe County, AL",2001,"9,967     ","9,309     ",658     ,6.6     
CN011010,01,101,"Montgomery County, AL",2001,"105,972     ","101,598     ","4,374     ",4.1     
PA010750,01,103,"Morgan County, AL",2001,"56,768     ","54,119     ","2,649     ",4.7     
CN011050,01,105,"Perry County, AL",2001,"3,887     ","3,496     ",391     ,10.1     
CN011070,01,107,"Pickens County, AL",2001,"8,493     ","7,841     ",652     ,7.7     
CN011090,01,109,"Pike County, AL",2001,"13,646     ","12,985     ",661     ,4.8     
CN011110,01,111,"Randolph County, AL",2001,"10,012     ","9,439     ",573     ,5.7     
CN011130,01,113,"Russell County, AL",2001,"21,650     ","20,560     ","1,090     ",5.0     
CN011150,01,115,"St. Clair County, AL",2001,"31,990     ","30,770     ","1,220     ",3.8     
PA011100,01,117,"Shelby County, AL",2001,"85,041     ","82,784     ","2,257     ",2.7     
CN011190,01,119,"Sumter County, AL",2001,"5,153     ","4,756     ",397     ,7.7     
PA010800,01,121,"Talladega County, AL",2001,"36,114     ","33,956     ","2,158     ",6.0     
CN011230,01,123,"Tallapoosa County, AL",2001,"19,420     ","18,370     ","1,050     ",5.4     
PS010220,01,125,"Tuscaloosa County, AL",2001,"82,178     ","79,043     ","3,135     ",3.8     
PA010850,01,127,"Walker County, AL",2001,"31,488     ","29,768     ","1,720     ",5.5     
CN011290,01,129,"Washington County, AL",2001,"7,482     ","6,871     ",611     ,8.2     
CN011310,01,131,"Wilcox County, AL",2001,"3,852     ","3,496     ",356     ,9.2     
CN011330,01,133,"Winston County, AL",2001,"10,792     ","9,868     ",924     ,8.6     
CN020130,02,013,"Aleutians East Borough, AK",2001,"1,010     ",929     ,81     ,8.0     
CN020100,02,016,"Aleutians West Census Area, AK",2001,"2,637     ","2,486     ",151     ,5.7     
CN020200,02,020,"Anchorage Borough/municipality, AK",2001,"142,074     ","135,226     ","6,848     ",4.8     
CN020500,02,050,"Bethel Census Area, AK",2001,"6,312     ","5,707     ",605     ,9.6     
CN020600,02,060,"Bristol Bay Borough, AK",2001,947     ,897     ,50     ,5.3     
CN020680,02,068,"Denali Borough, AK",2001,"1,449     ","1,358     ",91     ,6.3     
CN020700,02,070,"Dillingham Census Area, AK",2001,"1,912     ","1,762     ",150     ,7.8     
CN020900,02,090,"Fairbanks North Star Borough, AK",2001,"41,442     ","39,035     ","2,407     ",5.8     
