"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","1716",1716,0,0,0
"2","Albany* GA MSA","4048",4048,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","29887",28200,120,0,1567
"4","Albuquerque* NM MSA","41146",40055,0,0,1091
"5","Alexandria* LA MSA","3786",3786,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","35871",22094,0,1965,11812
"7","Altoona* PA MSA","1028",1028,0,0,0
"8","Amarillo* TX MSA","4225",2168,0,2057,0
"9","Anchorage* AK MSA","25120",16845,6572,1703,0
"10","Anniston* AL MSA","3287",3287,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","27634",18169,2099,0,7366
"12","Asheville* NC MSA","16014",14050,389,0,1575
"13","Athens* GA MSA","19221",8023,67,0,11131
"14","Atlanta  GA MSA","469877",407886,1421,3152,57418
"15","Auburn-Opelika* AL MSA","14341",3416,258,235,10432
"16","Augusta-Aiken* GA-SC MSA","22173",22173,0,0,0
"17","Austin-San Marcos* TX MSA","97263",56839,123,1384,38917
"18","Bakersfield* CA MSA","29782",29060,0,222,500
"19","Bangor* ME MSA","2031",2031,0,0,0
"20","Barnstable-Yarmouth* MA MSA","16637",16637,0,0,0
"21","Baton Rouge* LA MSA","9737",8557,0,0,1180
"22","Beaumont-Port Arthur* TX MSA","10776",2776,0,0,8000
"23","Bellingham* WA MSA","12581",10415,416,241,1509
"24","Benton Harbor* MI MSA","2305",2305,0,0,0
"25","Billings* MT MSA","5668",4669,999,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","17848",17766,82,0,0
"27","Binghamton* NY MSA","1172",1172,0,0,0
"28","Birmingham* AL MSA","51358",50939,0,0,419
"29","Bismarck* ND MSA","8707",8707,0,0,0
"30","Bloomington* IN MSA","7620",7367,253,0,0
"31","Bloomington-Normal* IL MSA","13658",7069,80,0,6509
"32","Boise City* ID MSA","65469",59027,624,1211,4607
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","191000",172213,4229,3460,11098
"34","Brownsville-Harlingen-San  Benito* TX MSA","13872",11697,199,880,1096
"35","Bryan-College Station* TX MSA","5769",4829,940,0,0
"36","Buffalo-Niagara Falls* NY MSA","27318",25291,855,0,1172
"37","Burlington* VT MSA","9037",8637,121,279,0
"38","Canton-Massillon* OH MSA","16545",16319,226,0,0
"39","Casper* WY MSA","1578",1578,0,0,0
"40","Cedar Rapids* IA MSA","8626",5866,375,952,1433
"41","Champaign-Urbana* IL MSA","5654",4287,0,0,1367
"42","Charleston-North  Charleston* SC MSA","70394",59303,7099,231,3761
"43","Charleston* WV MSA","3719",3425,0,294,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","171376",157064,0,244,14068
"45","Charlottesville* VA MSA","19463",15307,1000,0,3156
"46","Chattanooga* TN-GA MSA","17950",17333,151,119,347
"47","Cheyenne* WY MSA","4908",2731,0,0,2177
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","577641",484581,6906,16868,69286
"49","Chico-Paradise* CA MSA","10162",9395,0,0,767
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","106727",96190,1074,2304,7159
"51","Clarksville-Hopkinsville*  TN-KY MSA","5718",5614,0,104,0
"52","Cleveland-Akron  OH CMSA","131037",126896,945,1527,1669
"53","Colorado Springs* CO MSA","45260",40947,0,631,3682
"54","Columbia* MO MSA","13896",13106,310,0,480
"55","Columbia* SC MSA","31296",31296,0,0,0
"56","Columbus* GA-AL MSA","31923",10165,120,0,21638
"57","Columbus  OH MSA","154317",135652,286,4771,13608
"58","Corpus Christi* TX MSA","6672",6154,116,402,0
"59","Corvallis OR MSA*","4795",4795,0,0,0
"60","Cumberland* MD-WV MSA","1673",1673,0,0,0
"61","Dallas-Fort Worth  TX CMSA","498830",454122,1330,67,43311
"62","Danville* VA MSA","2247",2247,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","5041",5041,0,0,0
"64","Dayton-Springfield* OH MSA","30928",29156,0,1301,471
"65","Daytona Beach* FL MSA","55126",53880,198,471,577
"66","Decatur* Al MSA","3210",3210,0,0,0
"67","Decatur* IL MSA","1211",1211,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","276892",207313,2242,3142,64195
"69","Des Moines* IA MSA","73769",45781,3074,1326,23588
"70","Detroit-Ann Arbor-Flint  MI  CMSA","261296",246127,2040,1970,11159
"71","Dothan* AL MSA","1938",1938,0,0,0
"72","Dover* DE MSA","8662",8662,0,0,0
"73","Dubuque* IA MSA","2714",2577,137,0,0
"74","Duluth-Superior* MN-WI MSA","6518",5918,76,524,0
"75","Eau Claire* WI MSA","17113",14422,2116,377,198
"76","El Paso* TX MSA","14165",12991,205,687,282
"77","Elkhart-Goshen* IN MSA","6940",6940,0,0,0
"78","Elmira* NY MSA","724",724,0,0,0
"79","Enid* OK MSA","1115",765,350,0,0
"80","Erie* PA MSA","4072",3892,0,0,180
"81","Eugene-Springfield* OR MSA","19745",16620,528,1878,719
"82","Evansville-Henderson* IN-KY  MSA","7329",6957,222,0,150
"83","Fargo-Moorhead* ND-MN MSA","19762",11057,171,269,8265
"84","Fayetteville* NC MSA","10537",8097,169,0,2271
"85","Fayetteville-Springdale-  Rogers* AR MSA","29291",16935,1393,0,10963
"86","Flagstaff* AZ-UT MSA","11755",11755,0,0,0
"87","Florence* AL MSA","220",220,0,0,0
"88","Florence* SC MSA","4124",3820,0,0,304
"89","Fort Collins-Loveland* CO MSA","28532",26115,0,295,2122
"90","Fort Myers-Cape Coral* FL MSA","97654",81007,4466,2437,9744
"91","Fort Pierce-Port St. Lucie*  FL MSA","58028",50347,181,0,7500
"92","Fort Smith* AR-OK MSA","3784",3577,207,0,0
"93","Fort Walton Beach* FL MSA","10845",10462,0,0,383
"94","Fort Wayne* IN MSA","34311",27002,614,0,6695
"95","Fresno  CA MSA","52730",52301,184,0,245
"96","Gadsden* AL MSA","846",846,0,0,0
"97","Gainesville* FL MSA","10443",9220,0,156,1067
"98","Glens Falls* NY MSA","5993",5433,247,0,313
"99","Goldsboro* NC MSA","3658",3576,82,0,0
"100","Grand Forks* ND-MN MSA","1601",1601,0,0,0
"101","Grand Junction* CO MSA","12634",11901,366,367,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","73241",67366,321,0,5554
"103","Great Falls* MT MSA","1869",1869,0,0,0
"104","Green Bay* WI MSA","19977",14947,458,0,4572
"105","Greensboro--Winston-Salem--  High Point  NC MSA","93252",73225,989,1104,17934
"106","Greenville* NC MSA","12402",5480,2192,0,4730
"107","Greenville-Spartanburg-  Anderson* SC MSA","54379",52288,601,0,1490
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","18933",17984,0,444,505
"109","Hartford* CT MSA","38432",37913,385,0,134
"110","Hattiesburg* MS MSA","988",988,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","18439",18229,0,210,0
"112","Honolulu  HI MSA","23768",21993,0,430,1345
"113","Houma* LA MSA","6080",6080,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","338367",315208,50,1588,21521
"115","Huntington-Ashland* WV-KY-  OH MSA","1715",1585,130,0,0
"116","Huntsville* AL MSA","4518",4240,0,0,278
"117","Indianapolis  IN MSA","203874",183813,2080,2238,15743
"118","Iowa City* IA MSA","8484",6224,0,0,2260
"119","Jackson* MI MSA","1686",1686,0,0,0
"120","Jackson* MS MSA","22246",22246,0,0,0
"121","Jackson* TN MSA","5528",5348,180,0,0
"122","Jacksonville  FL MSA","127082",121736,456,400,4490
"123","Jacksonville* NC MSA","6684",4611,59,0,2014
"124","Jamestown* NY MSA","88",88,0,0,0
"125","Janesville-Beloit* WI MSA","3089",1912,777,225,175
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","10447",10157,0,0,290
"127","Johnstown* PA MSA","596",486,110,0,0
"128","Jonesboro* AR MSA","4882",4882,0,0,0
"129","Joplin* MO MSA","1134",1134,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","16029",13280,200,0,2549
"131","Kansas City  MO-KS MSA","130890",119889,3704,4664,2633
"132","Killeen-Temple* TX MSA","12695",11611,806,278,0
"133","Knoxville* TN MSA","36240",32060,0,434,3746
"134","Kokomo* IN MSA","4374",4374,0,0,0
"135","La Crosse* WI-MN MSA","5315",5135,0,180,0
