"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","2426",2426,0,0,0
"2","Albany* GA MSA","5382",5382,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","12500",12209,0,0,291
"4","Albuquerque* NM MSA","41111",40384,0,0,727
"5","Alexandria* LA MSA","3748",3748,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","13413",13230,0,183,0
"7","Altoona* PA MSA","281",281,0,0,0
"8","Amarillo* TX MSA","5087",5087,0,0,0
"9","Anchorage* AK MSA","4662",4309,353,0,0
"10","Anniston* AL MSA","1446",1171,0,0,275
"11","Appleton-Oshkosh-Neenah* WI  MSA","15701",14276,538,0,887
"12","Asheville* NC MSA","12501",11630,541,0,330
"13","Athens* GA MSA","15595",12180,742,206,2467
"14","Atlanta  GA MSA","476185",422810,916,3732,48727
"15","Augusta-Aiken* GA-SC MSA","24899",24784,0,38,77
"16","Austin-San Marcos* TX MSA","128138",110607,232,0,17299
"17","Bakersfield* CA MSA","18927",16949,0,645,1333
"18","Bangor* ME MSA","1031",1031,0,0,0
"19","Barnstable-Yarmouth* MA MSA","17181",16526,262,393,0
"20","Baton Rouge* LA MSA","11345",9851,43,150,1301
"21","Beaumont-Port Arthur* TX MSA","5597",5597,0,0,0
"22","Bellingham* WA MSA","9901",9307,401,0,193
"23","Benton Harbor* MI MSA","550",550,0,0,0
"24","Billings* MT MSA","3357",3357,0,0,0
"25","Biloxi-Gulfport-Pascagoula*  MS MSA","17514",17379,59,76,0
"26","Binghamton* NY MSA","478",478,0,0,0
"27","Birmingham* AL MSA","48297",48297,0,0,0
"28","Bismarck* ND MSA","1050",1050,0,0,0
"29","Bloomington* IN MSA","4246",3944,0,0,302
"30","Bloomington-Normal* IL MSA","5626",4113,0,0,1513
"31","Boise City* ID MSA","51013",50325,688,0,0
"32","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","140907",130660,2184,2100,5963
"33","Brownsville-Harlingen-San  Benito* TX MSA","11527",10061,228,501,737
"34","Bryan-College Station* TX MSA","8290",8290,0,0,0
"35","Buffalo-Niagara Falls* NY MSA","14399",13899,0,0,500
"36","Burlington* VT MSA","5199",4739,50,0,410
"37","Canton-Massillon* OH MSA","12316",10957,544,575,240
"38","Casper* WY MSA","553",553,0,0,0
"39","Cedar Rapids* IA MSA","4346",3294,612,440,0
