"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","2405",1688,717,0,0
"2","Albany* GA MSA","4760",4760,0,0,0
"3","Albany-Schenectady-Troy* NY MSA","33323",32454,0,0,869
"4","Albuquerque* NM MSA","56500",52611,0,399,3490
"5","Alexandria* LA MSA","3054",3054,0,0,0
"6","Allentown-Bethlehem-Easton* PA MSA","19041",18891,50,100,0
"7","Altoona* PA MSA","87",87,0,0,0
"8","Amarillo* TX MSA","12570",12570,0,0,0
"9","Anchorage* AK MSA","24422",14830,824,0,8768
"10","Anniston* AL MSA","2892",2892,0,0,0
"11","Appleton-Oshkosh-Neenah* WI MSA","23515",17082,180,1343,4910
"12","Asheville* NC MSA","22151",14561,0,1958,5632
"13","Athens* GA MSA","24948",18530,0,0,6418
"14","Atlanta* GA MSA","642131",593035,584,1113,47399
"15","Auburn-Opelika* AL MSA","5951",5951,0,0,0
"16","Augusta-Aiken* GA-SC MSA","31162",31102,60,0,0
"17","Austin-San Marcos* TX MSA","76897",76809,88,0,0
"18","Bakersfield* CA MSA","55968",53647,1042,1279,0
"19","Bangor* ME MSA","1574",1374,0,0,200
"20","Barnstable-Yarmouth* MA MSA","8713",8713,0,0,0
"21","Baton Rouge* LA MSA","12142",12142,0,0,0
"22","Beaumont-Port Arthur* TX MSA","4664",4664,0,0,0
"23","Bellingham* WA MSA","19375",16539,1339,353,1144
"24","Benton Harbor* MI MSA","823",823,0,0,0
"25","Billings* MT MSA","6758",3960,136,0,2662
"26","Biloxi-Gulfport-Pascagoula* MS MSA","26532",18128,255,205,7944
"27","Binghamton* NY MSA","1564",1564,0,0,0
"28","Birmingham* AL MSA","89068",73045,0,0,16023
"29","Bismarck* ND MSA","4794",4133,0,661,0
"30","Bloomington* IN MSA","8765",6034,1439,236,1056
"31","Bloomington-Normal* IL MSA","5521",5121,0,0,400
"32","Boise City* ID MSA","74425",72484,606,1335,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","242309",186298,7090,4606,44315
"34","Brownsville-Harlingen-San Benito*  TX MSA","16678",15004,513,208,953
"35","Bryan-College Station* TX MSA","27513",15707,885,0,10921
"36","Buffalo-Niagara Falls* NY MSA","22437",22245,0,192,0
"37","Burlington* VT MSA","5556",3451,316,1012,777
"38","Canton-Massillon* OH MSA","12258",12008,0,0,250
"39","Casper* WY MSA","3703",3703,0,0,0
"40","Cedar Rapids* IA MSA","5637",4356,0,272,1009
"41","Champaign-Urbana* IL MSA","6724",5943,0,0,781
"42","Charleston* WV MSA","1328",1328,0,0,0
"43","Charleston-North Charleston* SC MSA","70780",64595,320,0,5865
"44","Charlotte-Gastonia-Rock Hill*  NC-SC MSA","199907",187928,1597,1630,8752
"45","Charlottesville* VA MSA","23164",16905,0,212,6047
"46","Chattanooga* TN-GA MSA","22667",21713,354,0,600
"47","Cheyenne* WY MSA","6674",6384,0,0,290
"48","Chicago-Gary-Kenosha IL-IN-WI CMSA","548912",449366,7789,15471,76286
"49","Chico-Paradise* CA MSA","13654",8203,0,0,5451
"50","Cincinnati-Hamilton OH-KY-IN CMSA","112822",99819,0,630,12373
"51","Clarksville-Hopkinsville* TN-KY MSA","19258",13513,349,0,5396
"52","Cleveland-Akron OH CMSA","111365",104994,2260,2210,1901
"53","Colorado Springs* CO MSA","43355",43355,0,0,0
"54","Columbia* MO MSA","11040",10568,472,0,0
"55","Columbia* SC MSA","35966",35839,0,0,127
"56","Columbus* GA-AL MSA","16834",16451,383,0,0
"57","Columbus* OH MSA","187345",139215,6486,9675,31969
