"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Abilene","TX",2237,1791,446,0,0
"Akron","OH",12467,9391,0,69,3007
"Albany","GA",2774,2624,150,0,0
"Albany-Schenectady-Troy","NY",10793,10793,0,0,0
"Albuquerque","NM",30554,27165,0,0,3389
"Alexandria","LA",3590,3590,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",16574,16319,0,0,255
"Altoona","PA",400,400,0,0,0
"Amarillo","TX",9642,9642,0,0,0
"Ames","IA",1859,1190,0,0,669
"Anchorage","AK",9769,4529,669,458,4113
"Anderson","IN",1334,1089,245,0,0
"Anderson","SC",8909,8909,0,0,0
"Ann Arbor","MI",3108,2806,0,0,302
"Anniston-Oxford","AL",1635,1635,0,0,0
"Appleton","WI",4380,4206,174,0,0
"Asheville","NC",44186,44186,0,0,0
"Athens-Clarke County","GA",7428,7428,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",304790,238422,0,1566,64802
"Atlantic City-Hammonton","NJ",9587,9587,0,0,0
"Auburn-Opelika","AL",14860,14860,0,0,0
"Augusta-Richmond County","GA-SC",28168,26199,60,0,1909
"Austin-Round Rock","TX",211317,145523,2854,6490,56450
"Bakersfield","CA",28876,22493,413,2302,3668
"Baltimore-Towson","MD",80176,38648,0,0,41528
"Bangor","ME",1008,1008,0,0,0
"Barnstable Town","MA",21409,21409,0,0,0
"Baton Rouge","LA",47767,46563,0,0,1204
"Battle Creek","MI",510,510,0,0,0
"Bay City","MI",105,105,0,0,0
"Beaumont-Port Arthur","TX",24626,6802,362,0,17462
"Bellingham","WA",4296,2689,0,0,1607
"Bend","OR",11908,11908,0,0,0
"Billings","MT",3555,3555,0,0,0
"Binghamton","NY",543,543,0,0,0
"Birmingham-Hoover","AL",37753,32700,0,0,5053
"Bismarck","ND",1385,1385,0,0,0
"Bloomington","IN",4331,3515,816,0,0
"Bloomington-Normal","IL",2611,1850,0,0,761
"Boise City-Nampa","ID",43362,42569,0,793,0
"Boston-Cambridge-Quincy","MA-NH",76711,58260,1211,4381,12859
"Boulder","CO",6105,5281,0,0,824
"Bowling Green","KY",4734,4734,0,0,0
"Bradenton-Sarasota-Venice","FL",32656,28351,250,0,4055
"Bremerton-Silverdale","WA",9232,9232,0,0,0
"Bridgeport-Stamford-Norwalk","CT",107374,38770,405,0,68199
"Brownsville-Harlingen","TX",10662,10662,0,0,0
"Brunswick","GA",8637,8637,0,0,0
"Buffalo-Niagara Falls","NY",8855,8855,0,0,0
"Burlington","NC",10003,10003,0,0,0
"Burlington-South Burlington","VT",5107,4895,212,0,0
"Canton-Massillon","OH",3782,3782,0,0,0
"Cape Coral-Fort Myers","FL",41195,28477,0,0,12718
"Carson City","NV",300,300,0,0,0
"Casper","WY",4016,3517,0,499,0
"Cedar Rapids","IA",1698,1432,0,266,0
"Champaign-Urbana","IL",3973,2707,35,0,1231
"Charleston","WV",2315,2315,0,0,0
"Charleston-North Charleston-Summerville","SC",86217,83425,0,0,2792
"Charlotte-Gastonia-Concord","NC-SC",224148,143946,0,1127,79075
"Charlottesville","VA",19265,19265,0,0,0
"Chattanooga","TN-GA",15946,13199,93,0,2654
"Cheyenne","WY",2052,2052,0,0,0
