"Table C-1. Cities -- Area and Population",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[Includes states and 1,265 incorporated places of 25,000 or more population as of ",,,,,,,,,,,,,
"April 1, 2000, in all states except Hawaii, which has no incorporated places recognized ",,,,,,,,,,,,,
"by the U.S. Census Bureau. Two census designated places (CDPs) are also included (Honolulu ",,,,,,,,,,,,,
"CDP in Hawaii and Arlington CDP in Virginia). For more information on these areas, see ",,,,,,,,,,,,,
"Appendix C, Geographic Information]",,,,,,,,,,,,,
,,,,,,,,,,,,,
"FIPS state and place code 1","City","County 2","Land area, 2000        (square miles)",,"Population",,,,,,,,
,,,"Total","Rank 3",2005,,"2000 5","1990 6","Rank",,,"Percent change",
,,,,,"Number","Per square mile 4",,,"2005 7","2000 7","1990 8","2000- 2005","1990- 2000"
"0151000","Montgomery city","Montgomery",155.4,37,"200,127","1,288.0","201,716","190,563",97,87,84,-0.8,5.9
"0159472","Phenix City city","Lee, Russell",24.6,518,"29,460","1,197.6","28,447","25,935","1,121","1,108","1,055",3.6,9.7
"0162328","Prattville city","Autauga, Elmore",23.2,556,"30,043","1,296.6","25,685","20,280","1,097","1,240","1,168",17.0,26.7
"0162496","Prichard city","Mobile",25.4,504,"27,963","1,101.3","28,641","34,180","1,168","1,098",799,-2.4,-16.2
"0177256","Tuscaloosa city","Tuscaloosa",56.2,162,"81,358","1,446.6","77,834","79,128",354,350,277,4.5,-1.6
"0178552","Vestavia Hills city","Jefferson, Shelby",14.6,820,"31,022","2,120.4","30,534","20,523","1,067","1,037","1,164",1.6,48.8
"0200000","ALASKA",,"571,951.3","(X)","663,661",1.2,"626,931","550,043","(X)","(X)","(X)",5.9,14.0
"0203000","Anchorage municipality","Anchorage","1,697.2",2,"275,043",162.1,"260,283","226,338",68,66,68,5.7,15.0
"0224230","Fairbanks city","Fairbanks North Star",31.9,377,"31,324",983.2,"30,224","30,941","1,059","1,046",894,3.6,-2.3
"0236400","Juneau city and borough","Juneau","2,716.7",1,"30,987",11.4,"30,711","26,752","1,070","1,031","1,023",0.9,14.8
"0400000","ARIZONA",,"113,634.6","(X)","5,939,292",52.3,"5,130,632","3,665,339","(X)","(X)","(X)",15.8,40.0
"0402830","Apache Junction city","Maricopa, Pinal",34.2,340,"32,297",943.5,"31,630","18,545","1,028","1,002","1,191",2.1,70.6
"0404720","Avondale city","Maricopa",41.3,257,"66,706","1,616.7","35,906","17,936",456,887,"1,196",85.8,100.2
"0408220","Bullhead City city","Mohave",45.2,221,"39,101",864.5,"33,769","21,999",848,945,"1,149",15.8,53.5
"0410530","Casa Grande city","Pinal",48.2,207,"32,855",682.1,"25,768","19,201","1,010","1,235","1,181",27.5,34.2
"0412000","Chandler city","Maricopa",57.9,156,"234,939","4,058.4","176,997","90,769",75,116,228,32.7,95.0
"0423620","Flagstaff city","Coconino",63.6,137,"57,391",902.7,"52,960","45,909",564,575,572,8.4,15.4
"0427400","Gilbert town","Maricopa",43.0,243,"173,989","4,050.0","110,061","30,124",127,207,921,58.1,265.4
"0427820","Glendale city","Maricopa",55.7,169,"239,435","4,300.2","218,802","151,011",73,81,117,9.4,44.9
"0439370","Lake Havasu City city","Mohave",43.0,242,"55,338","1,285.7","41,938","24,390",594,749,"1,098",32.0,71.9
"0446000","Mesa city","Maricopa",125.0,52,"442,780","3,542.5","397,770","290,811",41,43,53,11.3,36.8
"0451600","Oro Valley town","Pima",31.8,379,"38,438","1,207.6","31,938","9,235",870,992,"1,224",20.4,245.8
"0454050","Peoria city","Maricopa, Yavapai",138.2,45,"138,200",999.9,"108,939","51,101",169,211,508,26.9,113.2
"0455000","Phoenix city","Maricopa",474.9,7,"1,461,575","3,077.9","1,321,627","989,058",6,6,10,10.6,33.6
"0457380","Prescott city","Yavapai",37.1,301,"40,360","1,088.8","34,054","27,290",818,933,"1,004",18.5,24.8
"0465000","Scottsdale city","Maricopa",184.2,30,"226,013","1,227.0","202,625","129,944",80,86,140,11.5,55.9
"0466820","Sierra Vista city","Cochise",153.5,39,"41,908",273.1,"37,781","33,436",791,845,820,10.9,13.0
"0471510","Surprise city","Maricopa",69.5,122,"74,411","1,070.8","30,904","7,286",395,"1,028","1,227",140.8,324.2
"0473000","Tempe city","Maricopa",40.1,272,"161,143","4,022.5","158,625","142,130",139,128,125,1.6,11.6
"0477000","Tucson city","Pima",194.7,28,"515,526","2,648.2","487,337","417,724",32,31,34,5.8,16.7
"0485540","Yuma city","Yuma",106.7,65,"84,688",794.1,"77,645","62,544",331,353,382,9.1,24.1
"0500000","ARKANSAS",,"52,068.2","(X)","2,779,154",53.4,"2,673,398","2,350,624","(X)","(X)","(X)",4.0,13.7
"0515190","Conway city","Faulkner",35.1,330,"51,999","1,483.6","43,447","28,898",640,723,949,19.7,50.3
"0523290","Fayetteville city","Washington",43.4,237,"66,655","1,534.8","58,072","42,753",457,501,622,14.8,35.8
"0524550","Fort Smith city","Sebastian",50.4,194,"82,481","1,638.2","80,295","73,068",346,335,308,2.7,9.9
"0533400","Hot Springs city","Garland",32.9,364,"37,847","1,150.7","35,863","33,165",881,889,831,5.5,8.1
"0534750","Jacksonville city","Pulaski",26.4,484,"30,367","1,151.1","29,961","29,109","1,089","1,058",945,1.4,2.9
"0535710","Jonesboro city","Craighead",79.6,97,"59,358",745.3,"55,513","46,716",536,541,561,6.9,18.8
"0541000","Little Rock city","Pulaski",116.2,56,"184,564","1,588.3","183,170","177,208",116,111,97,0.8,3.4
"0550450","North Little Rock city","Pulaski",44.8,226,"58,803","1,312.3","60,471","62,284",542,473,386,-2.8,-2.9
"0555310","Pine Bluff city","Jefferson",45.6,220,"52,693","1,155.3","55,147","57,575",627,546,425,-4.4,-4.2
"0560410","Rogers city","Benton",33.5,352,"48,353","1,442.1","39,596","25,471",690,801,"1,067",22.1,55.5
"0566080","Springdale city","Benton, Washington",31.3,388,"60,096","1,920.0","46,672","30,152",523,670,919,28.8,54.8
"0568810","Texarkana city","Miller",31.9,378,"30,006",942.1,"27,837","25,666","1,099","1,132","1,059",7.8,8.5
"0574540","West Memphis city","Crittenden",26.5,479,"28,181","1,063.8","27,674","28,635","1,159","1,142",962,1.8,-3.4
"0600000","CALIFORNIA",,"155,959.3","(X)","36,132,147",231.7,"33,871,653","29,811,427","(X)","(X)","(X)",6.7,13.6
"0600562","Alameda city","Alameda",10.8,973,"70,576","6,534.8","72,259","73,986",419,381,303,-2.3,-2.3
"0600884","Alhambra city","Los Angeles",7.6,"1,097","87,410","11,471.1","85,806","82,129",313,298,266,1.9,4.5
"0600947","Aliso Viejo city","Orange","(X)","(X)","41,541","(NA)","40,018","(X)",799,791,"(X)",3.8,"(NA)"
"0602000","Anaheim city","Orange",48.9,203,"331,804","6,779.8","328,005","266,229",55,56,58,1.2,23.2
"0602252","Antioch city","Contra Costa",27.0,463,"100,631","3,734.0","90,529","62,125",250,276,387,11.2,45.7
"0602364","Apple Valley town","San Bernardino",73.3,115,"65,156",888.5,"54,254","46,146",466,555,568,20.1,17.6
"0602462","Arcadia city","Los Angeles",11.0,962,"56,153","5,114.1","53,054","48,741",580,573,539,5.8,8.8
"0603064","Atascadero city","San Luis Obispo",26.7,470,"27,130","1,014.6","26,411","23,910","1,197","1,195","1,113",2.7,10.5
"0603386","Azusa city","Los Angeles",8.9,"1,050","47,120","5,294.4","44,712","40,819",719,706,655,5.4,9.5
"0603526","Bakersfield city","Kern",113.1,61,"295,536","2,613.1","243,213","187,662",61,70,88,21.5,29.6
"0603666","Baldwin Park city","Los Angeles",6.7,"1,132","78,861","11,841.0","75,837","69,344",371,364,334,4.0,9.4
"0604870","Bell city","Los Angeles",2.5,"1,245","37,521","15,129.4","36,664","34,266",889,865,792,2.3,7.0
"0604982","Bellflower city","Los Angeles",6.1,"1,154","74,570","12,285.0","72,878","61,848",392,377,391,2.3,17.8
"0604996","Bell Gardens city","Los Angeles",2.5,"1,244","45,135","18,126.5","44,054","42,319",749,714,629,2.5,4.1
"0605108","Belmont city","San Mateo",4.5,"1,207","24,522","5,413.2","25,099","24,049","1,261","1,265","1,109",-2.3,4.4
"0605290","Benicia city","Solano",12.9,888,"26,489","2,053.4","26,865","24,464","1,219","1,178","1,095",-1.4,9.8
"0606000","Berkeley city","Alameda",10.5,988,"100,744","9,631.4","102,743","102,734",249,231,194,-1.9,"(Z)"
"0606308","Beverly Hills city","Los Angeles",5.7,"1,167","35,078","6,186.6","33,784","32,038",958,944,862,3.8,5.4
"0608100","Brea city","Orange",10.5,985,"38,465","3,649.4","35,450","33,193",868,901,828,8.5,6.8
"0608786","Buena Park city","Orange",10.6,982,"79,174","7,490.4","77,962","68,594",369,349,338,1.6,13.7
"0608954","Burbank city","Los Angeles",17.4,729,"104,108","6,000.5","100,316","93,632",239,242,219,3.8,7.1
"0609066","Burlingame city","San Mateo",4.3,"1,209","27,380","6,323.3","28,135","26,651","1,186","1,116","1,031",-2.7,5.6
"0609710","Calexico city","Imperial",6.2,"1,151","36,005","5,779.3","27,112","19,123",932,"1,168","1,183",32.8,41.8
"0610046","Camarillo city","Ventura",18.9,690,"61,576","3,252.8","57,128","52,618",504,512,487,7.8,8.6
"0610345","Campbell city","Santa Clara",5.6,"1,171","37,042","6,602.9","38,138","36,366",905,837,742,-2.9,4.9
"0611194","Carlsbad city","San Diego",37.4,296,"90,773","2,424.5","78,306","63,011",296,347,378,15.9,24.3
"0611530","Carson city","Los Angeles",18.8,694,"93,955","4,987.0","89,730","84,067",280,279,263,4.7,6.7
"0612048","Cathedral City city","Riverside",19.2,675,"51,713","2,696.2","42,859","30,202",644,734,916,20.7,41.9
"0612524","Ceres city","Stanislaus",6.9,"1,123","40,571","5,846.0","34,675","26,843",811,922,"1,020",17.0,29.2
"0612552","Cerritos city","Los Angeles",8.6,"1,060","52,561","6,097.6","51,488","53,345",628,596,476,2.1,-3.5
"0613014","Chico city","Butte",27.7,448,"71,427","2,574.9","65,305","48,068",413,432,546,9.4,35.9
"0613210","Chino city","San Bernardino",21.1,622,"77,578","3,685.4","69,749","59,967",378,399,405,11.2,16.3
"0613214","Chino Hills city","San Bernardino",44.8,226,"75,722","1,689.8","66,787","(X)",384,421,"(X)",13.4,"(NA)"
"0613392","Chula Vista city","San Diego",48.9,204,"210,497","4,306.4","173,555","135,065",90,121,133,21.3,28.5
"0613588","Citrus Heights city","Sacramento",14.4,829,"86,272","6,012.0","85,071","(X)",321,306,"(X)",1.4,"(NA)"
"0613756","Claremont city","Los Angeles",13.1,879,"35,182","2,677.5","33,998","33,191",953,934,829,3.5,2.4
"0614218","Clovis city","Fresno",17.1,734,"86,527","5,054.1","69,046","51,086",318,404,510,25.3,35.2
"0614890","Colton city","San Bernardino",15.1,804,"51,350","3,398.4","47,662","39,850",649,654,675,7.7,19.6
"0615044","Compton city","Los Angeles",10.1,"1,003","95,659","9,443.1","93,493","90,002",271,263,230,2.3,3.9
"0616000","Concord city","Contra Costa",30.1,409,"123,252","4,089.3","121,875","111,230",191,180,168,1.1,9.6
"0616350","Corona city","Riverside",35.2,328,"149,387","4,250.0","127,768","76,396",151,169,292,16.9,67.2
"0616532","Costa Mesa city","Orange",15.6,790,"109,830","7,026.9","109,490","96,354",218,209,212,0.3,13.6
"0616742","Covina city","Los Angeles",7.0,"1,121","47,850","6,865.1","46,837","43,275",697,667,612,2.2,8.2
"0617568","Culver City city","Los Angeles",5.1,"1,188","39,603","7,750.1","38,816","38,858",840,821,695,2.0,-0.1
"0617610","Cupertino city","Santa Clara",10.9,964,"52,171","4,768.8","52,520","44,162",636,582,601,-0.7,18.9
"0617750","Cypress city","Orange",6.6,"1,136","47,383","7,168.4","46,604","42,634",709,673,625,1.7,9.3
"0617918","Daly City city","San Mateo",7.6,"1,100","100,339","13,272.4","103,625","91,968",251,226,225,-3.2,12.7
"0617946","Dana Point city","Orange",6.6,"1,134","35,867","5,401.7","35,110","31,781",937,912,867,2.2,10.5
"0617988","Danville town","Contra Costa",18.1,709,"41,852","2,313.5","41,711","31,331",792,753,880,0.3,33.1
"0618100","Davis city","Yolo",10.5,989,"60,709","5,809.5","58,656","46,372",516,494,565,3.5,26.5
"0618394","Delano city","Kern",10.1,"1,006","45,531","4,508.0","39,522","23,215",743,803,"1,124",15.2,70.2
"0619192","Diamond Bar city","Los Angeles",14.8,815,"57,975","3,927.8","56,287","53,762",551,524,471,3.0,4.7
"0619766","Downey city","Los Angeles",12.4,903,"109,718","8,834.0","107,323","91,488",219,214,227,2.2,17.3
"0620018","Dublin city","Alameda",12.6,898,"39,328","3,123.7","30,037","23,294",844,"1,054","1,121",30.9,28.9
"0620956","East Palo Alto city","San Mateo",2.6,"1,242","32,242","12,643.9","29,506","23,490","1,030","1,074","1,120",9.3,25.6
"0621712","El Cajon city","San Diego",14.6,824,"92,487","6,347.8","94,926","89,119",287,255,235,-2.6,6.5
"0621782","El Centro city","Imperial",9.6,"1,029","39,636","4,137.4","38,023","32,882",839,840,841,4.2,15.6
"0622020","Elk Grove city","Sacramento","(X)","(X)","112,338","(NA)","81,100","(X)",213,329,"(X)",38.5,"(NA)"
"0622230","El Monte city","Los Angeles",9.6,"1,031","122,513","12,828.6","115,965","105,890",193,193,186,5.6,9.5
"0622678","Encinitas city","San Diego",19.1,680,"59,525","3,114.9","57,955","55,768",534,504,443,2.7,3.9
"0622804","Escondido city","San Diego",36.3,309,"134,085","3,695.8","133,808","109,019",175,161,176,0.2,22.7
"0623042","Eureka city","Humboldt",9.5,"1,032","25,579","2,706.8","26,127","25,804","1,243","1,216","1,057",-2.1,1.3
"0623182","Fairfield city","Solano",37.7,293,"104,476","2,774.9","96,184","78,683",236,253,280,8.6,22.2
"0624638","Folsom city","Sacramento",21.7,590,"65,611","3,018.0","51,884","29,798",465,590,928,26.5,74.1
"0624680","Fontana city","San Bernardino",36.1,311,"163,860","4,536.5","129,147","87,810",138,166,238,26.9,47.1
"0625338","Foster City city","San Mateo",3.8,"1,226","28,756","7,647.9","28,803","28,160","1,144","1,092",975,-0.2,2.3
"0625380","Fountain Valley city","Orange",8.9,"1,049","55,942","6,278.6","54,978","54,204",584,547,464,1.8,1.4
"0626000","Fremont city","Alameda",76.7,106,"200,468","2,614.0","203,413","173,338",96,85,99,-1.4,17.4
"0627000","Fresno city","Fresno",104.4,71,"461,116","4,418.5","428,945","354,834",36,38,48,7.5,20.9
"0628000","Fullerton city","Orange",22.2,582,"132,787","5,981.4","126,280","114,235",177,172,161,5.2,10.5
"0628168","Gardena city","Los Angeles",5.8,"1,166","59,891","10,290.5","58,015","52,996",526,503,482,3.2,9.5
"0629000","Garden Grove city","Orange",18.0,715,"166,075","9,216.1","165,215","144,216",136,125,121,0.5,14.6
"0629504","Gilroy city","Santa Clara",15.9,785,"45,718","2,884.4","41,474","31,530",739,757,874,10.2,31.5
"0630000","Glendale city","Los Angeles",30.7,399,"200,065","6,527.4","194,973","180,040",98,98,94,2.6,8.3
"0630014","Glendora city","Los Angeles",19.1,677,"50,540","2,640.5","49,394","47,864",658,625,548,2.3,3.2
"0630378","Goleta city","Santa Barbara","(X)","(X)","29,367","(NA)","28,630","(X)","1,125","1,099","(X)",2.6,"(NA)"
"0631960","Hanford city","Kings",13.1,884,"47,485","3,627.6","41,796","30,760",705,751,899,13.6,35.9
"0632548","Hawthorne city","Los Angeles",6.1,"1,155","85,697","14,141.4","84,113","70,828",328,310,327,1.9,18.8
"0633000","Hayward city","Alameda",44.3,232,"140,293","3,164.7","140,031","114,663",165,152,159,0.2,22.1
"0633182","Hemet city","Riverside",25.6,498,"68,063","2,654.6","58,894","49,191",444,492,535,15.6,19.7
"0633434","Hesperia city","San Bernardino",67.4,128,"77,984","1,157.9","62,711","50,679",376,453,517,24.4,23.7
"0633588","Highland city","San Bernardino",13.6,858,"50,892","3,733.8","44,681","34,528",654,707,784,13.9,29.4
"0634120","Hollister city","San Benito",6.6,"1,138","35,941","5,470.5","34,411","20,250",934,925,"1,170",4.4,69.9
"0636000","Huntington Beach city","Orange",26.4,482,"194,457","7,368.6","189,627","181,379",105,102,92,2.5,4.5
"0636056","Huntington Park city","Los Angeles",3.0,"1,237","62,491","20,624.1","61,348","56,027",492,464,438,1.9,9.5
"0636294","Imperial Beach city","San Diego",4.3,"1,210","26,374","6,176.6","26,992","26,495","1,224","1,173","1,038",-2.3,1.9
"0636448","Indio city","Riverside",26.7,474,"70,542","2,643.0","49,121","37,598",421,632,725,43.6,30.6
"0636546","Inglewood city","Los Angeles",9.1,"1,039","114,467","12,523.7","112,572","110,973",207,201,170,1.7,1.4
"0636770","Irvine city","Orange",46.2,214,"186,852","4,046.2","143,159","110,734",114,146,171,30.5,29.3
"0639220","Laguna Hills city","Orange",6.4,"1,142","32,198","5,070.6","32,010","(X)","1,033",990,"(X)",0.6,"(NA)"
"0639248","Laguna Niguel city","Orange",14.7,819,"64,664","4,410.9","62,749","45,049",472,452,583,3.1,39.3
"0639290","La Habra city","Orange",7.3,"1,109","59,326","8,093.6","58,974","51,312",538,489,503,0.6,14.9
"0639486","Lake Elsinore city","Riverside",33.8,347,"39,258","1,161.5","28,930","19,662",845,"1,089","1,176",35.7,47.1
"0639496","Lake Forest city","Orange",12.5,902,"76,412","6,117.9","75,987","(X)",381,363,"(X)",0.6,"(NA)"
"0639892","Lakewood city","Los Angeles",9.4,"1,033","80,467","8,533.1","79,333","73,512",359,343,305,1.4,7.9
"0640004","La Mesa city","San Diego",9.3,"1,036","53,081","5,732.3","54,751","52,976",621,550,484,-3.1,3.4
"0640032","La Mirada city","Los Angeles",7.9,"1,088","49,640","6,323.6","46,783","40,455",673,669,664,6.1,15.6
"0640130","Lancaster city","Los Angeles",94.0,81,"134,032","1,425.9","118,718","97,427",176,186,208,12.9,21.9
"0640340","La Puente city","Los Angeles",3.5,"1,231","41,762","11,966.2","41,063","36,833",794,767,735,1.7,11.5
"0640830","La Verne city","Los Angeles",8.3,"1,073","33,185","3,993.4","31,626","30,800","1,000","1,003",897,4.9,2.7
"0640886","Lawndale city","Los Angeles",2.0,"1,251","32,193","16,259.1","31,711","27,315","1,034","1,000","1,002",1.5,16.1
"0641992","Livermore city","Alameda",23.9,536,"78,409","3,278.0","73,412","57,304",373,374,428,6.8,28.1
"0642202","Lodi city","San Joaquin",12.2,913,"62,133","5,076.2","57,063","51,980",497,513,497,8.9,9.8
"0642524","Lompoc city","Santa Barbara",11.6,934,"39,985","3,435.1","41,103","37,689",826,766,722,-2.7,9.1
"0643000","Long Beach city","Los Angeles",50.4,193,"474,014","9,397.6","461,522","429,789",34,35,32,2.7,7.4
"0643280","Los Altos city","Santa Clara",6.4,"1,142","27,096","4,267.1","27,696","26,605","1,199","1,139","1,034",-2.2,4.1
"0644000","Los Angeles city","Los Angeles",469.1,9,"3,844,829","8,196.7","3,694,484","3,485,567",2,2,2,4.1,6.0
"0644028","Los Banos city","Merced",8.0,"1,084","33,506","4,167.4","25,891","14,749",991,"1,231","1,214",29.4,75.5
"0644112","Los Gatos town","Santa Clara",10.7,974,"28,029","2,617.1","28,647","27,576","1,166","1,097",996,-2.2,3.9
"0644574","Lynwood city","Los Angeles",4.9,"1,196","71,208","14,682.1","69,845","61,855",416,397,389,2.0,12.9
"0645022","Madera city","Madera",12.3,909,"52,147","4,243.0","43,248","29,477",637,727,935,20.6,46.7
"0645400","Manhattan Beach city","Los Angeles",3.9,"1,221","36,481","9,282.7","33,852","31,991",919,941,865,7.8,5.8
"0645484","Manteca city","San Joaquin",15.9,778,"62,651","3,937.8","49,297","41,760",488,629,640,27.1,18.0
"0646114","Martinez city","Contra Costa",12.3,912,"35,916","2,931.9","35,866","33,556",935,888,815,0.1,6.9
"0646492","Maywood city","Los Angeles",1.2,"1,256","28,600","24,237.3","28,083","27,907","1,149","1,118",987,1.8,0.6
"0646870","Menlo Park city","San Mateo",10.1,"1,003","29,661","2,928.0","30,785","28,696","1,114","1,029",961,-3.7,7.3
"0646898","Merced city","Merced",19.9,655,"73,767","3,714.4","64,115","57,102",396,437,431,15.1,12.3
"0647766","Milpitas city","Santa Clara",13.6,862,"63,383","4,674.3","62,698","50,753",481,454,516,1.1,23.5
"0648256","Mission Viejo city","Orange",18.7,697,"94,982","5,090.1","92,602","79,494",275,266,275,2.6,16.5
"0648354","Modesto city","Stanislaus",35.8,314,"207,011","5,784.0","188,920","165,809",93,104,106,9.6,13.9
"0648648","Monrovia city","Los Angeles",13.8,853,"37,954","2,760.3","36,929","35,423",880,860,761,2.8,4.3
"0648788","Montclair city","San Bernardino",5.1,"1,189","35,474","6,955.7","33,172","28,458",949,959,965,6.9,16.6
"0648816","Montebello city","Los Angeles",8.3,"1,077","63,290","7,671.5","62,150","59,552",483,457,410,1.8,4.4
"0648872","Monterey city","Monterey",8.4,"1,066","29,217","3,461.7","29,712","32,157","1,128","1,068",860,-1.7,-7.6
"0648914","Monterey Park city","Los Angeles",7.6,"1,096","62,065","8,134.3","60,051","60,704",499,479,399,3.4,-1.1
"0649138","Moorpark city","Ventura",19.0,685,"35,844","1,884.5","31,411","25,521",940,"1,012","1,065",14.1,23.1
"0649270","Moreno Valley city","Riverside",51.2,190,"178,367","3,481.7","142,379","118,717",121,149,153,25.3,19.9
"0649278","Morgan Hill city","Santa Clara",11.7,932,"34,852","2,986.5","32,956","24,323",964,964,"1,101",5.8,35.5
"0649670","Mountain View city","Santa Clara",12.1,919,"69,276","5,744.3","70,705","66,044",433,392,356,-2.0,7.1
"0650076","Murrieta city","Riverside",28.4,435,"82,778","2,915.7","50,866","(X)",343,605,"(X)",62.7,"(NA)"
"0650258","Napa city","Napa",17.7,720,"74,782","4,225.0","72,750","62,486",390,378,384,2.8,16.4
"0650398","National City city","San Diego",7.4,"1,106","61,419","8,311.1","54,224","54,288",507,556,462,13.3,-0.1
"0650916","Newark city","Alameda",14.0,843,"41,956","3,003.3","42,471","37,862",789,742,717,-1.2,12.2
"0651182","Newport Beach city","Orange",14.8,814,"79,834","5,401.5","77,143","66,501",365,359,351,3.5,16.0
"0652526","Norwalk city","Los Angeles",9.7,"1,026","105,834","10,933.3","104,323","94,232",231,223,217,1.4,10.7
"0652582","Novato city","Marin",27.7,449,"50,335","1,817.1","47,668","47,636",660,653,553,5.6,0.1
"0653000","Oakland city","Alameda",56.1,163,"395,274","7,050.9","399,484","372,248",44,42,41,-1.1,7.3
"0653070","Oakley city","Contra Costa",12.4,903,"27,177","2,188.2","25,619","(X)","1,195","1,243","(X)",6.1,"(NA)"
"0653322","Oceanside city","San Diego",40.6,267,"166,108","4,092.3","161,039","128,215",135,126,141,3.1,25.6
"0653896","Ontario city","San Bernardino",49.8,197,"172,679","3,468.8","158,011","135,001",128,129,134,9.3,17.0
"0653980","Orange city","Orange",23.4,551,"134,950","5,769.6","129,567","111,399",173,165,167,4.2,16.3
"0654652","Oxnard city","Ventura",25.3,505,"183,628","7,255.2","170,642","142,454",117,123,123,7.6,19.8
"0654806","Pacifica city","San Mateo",12.6,894,"37,092","2,936.8","38,392","37,612",902,830,724,-3.4,2.1
"0655156","Palmdale city","Los Angeles",105.0,68,"134,570","1,282.1","116,848","78,023",174,190,284,15.2,49.8
"0655184","Palm Desert city","Riverside",24.4,524,"47,058","1,931.0","41,158","30,168",722,764,917,14.3,36.4
"0655254","Palm Springs city","Riverside",94.3,80,"47,082",499.5,"42,751","40,355",721,737,666,10.1,5.9
"0655282","Palo Alto city","Santa Clara",23.7,546,"56,982","2,407.4","58,596","55,850",568,496,441,-2.8,4.9
"0655520","Paradise town","Butte",18.3,702,"26,517","1,453.0","26,408","25,510","1,217","1,197","1,066",0.4,3.5
"0655618","Paramount city","Los Angeles",4.7,"1,199","56,540","11,953.5","55,230","47,591",576,545,554,2.4,16.1
"0656000","Pasadena city","Los Angeles",23.1,558,"143,731","6,222.1","134,019","131,969",160,160,138,7.2,1.6
"0656700","Perris city","Riverside",31.4,387,"45,671","1,455.9","36,189","21,625",741,879,"1,154",26.2,67.3
"0656784","Petaluma city","Sonoma",13.8,851,"54,846","3,974.3","54,666","43,860",598,551,604,0.3,24.6
"0656924","Pico Rivera city","Los Angeles",8.3,"1,075","64,679","7,792.7","63,428","59,188",470,444,413,2.0,7.2
"0657456","Pittsburg city","Contra Costa",15.6,791,"62,547","4,009.4","56,769","47,741",491,516,550,10.2,18.9
"0657526","Placentia city","Orange",6.6,"1,137","49,795","7,556.1","46,545","41,050",670,675,651,7.0,13.4
"0657764","Pleasant Hill city","Contra Costa",7.1,"1,117","33,153","4,676.0","32,837","31,689","1,003",970,872,1.0,3.6
"0657792","Pleasanton city","Alameda",21.7,595,"65,950","3,043.4","63,846","50,984",462,439,512,3.3,25.2
"0658072","Pomona city","Los Angeles",22.8,564,"153,787","6,733.2","147,906","132,216",144,140,137,4.0,11.9
"0658240","Porterville city","Tulare",14.0,840,"44,959","3,209.1","39,747","29,895",752,799,925,13.1,33.0
"0658520","Poway city","San Diego",39.2,279,"48,476","1,236.0","48,028","43,434",688,646,610,0.9,10.6
"0659444","Rancho Cordova city","Sacramento","(X)","(X)","57,164","(NA)","53,605","(X)",567,563,"(X)",6.6,"(NA)"
"0659451","Rancho Cucamonga city","San Bernardino",37.5,295,"169,353","4,522.1","127,743","101,482",129,170,197,32.6,25.9
"0659514","Rancho Palos Verdes city","Los Angeles",13.7,856,"41,949","3,070.9","41,026","41,771",790,768,639,2.2,-1.8
