fips,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,State,county,CouSub,pop2000,countyname,CBSASub,Areaname,state_alpha
0100199999,542,623,708,951,1241,1,1,99999,43671,Autauga County,METRO33860M33860,"Montgomery, AL MSA",AL
0100399999,491,660,735,1000,1276,1,3,99999,140415,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",AL
0100599999,423,425,509,700,828,1,5,99999,29038,Barbour County,NCNTY01005N01005,"Barbour County, AL",AL
0100799999,584,672,749,954,1024,1,7,99999,20826,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",AL
0100999999,584,672,749,954,1024,1,9,99999,51024,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",AL
0101199999,372,456,544,652,671,1,11,99999,11714,Bullock County,NCNTY01011N01011,"Bullock County, AL",AL
0101399999,372,456,544,652,671,1,13,99999,21399,Butler County,NCNTY01013N01013,"Butler County, AL",AL
0101599999,437,453,556,752,879,1,15,99999,112249,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",AL
0101799999,397,463,514,681,703,1,17,99999,36583,Chambers County,NCNTY01017N01017,"Chambers County, AL",AL
0101999999,458,476,553,658,680,1,19,99999,23988,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",AL
0102199999,372,514,571,711,803,1,21,99999,39593,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",AL
0102399999,399,408,481,606,782,1,23,99999,15922,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",AL
0102599999,334,452,515,617,907,1,25,99999,27867,Clarke County,NCNTY01025N01025,"Clarke County, AL",AL
0102799999,431,432,517,641,850,1,27,99999,14254,Clay County,NCNTY01027N01027,"Clay County, AL",AL
0102999999,429,431,517,641,850,1,29,99999,14123,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",AL
0103199999,396,493,559,815,980,1,31,99999,43615,Coffee County,NCNTY01031N01031,"Coffee County, AL",AL
0103399999,467,469,575,758,882,1,33,99999,54984,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",AL
0103599999,399,408,481,606,782,1,35,99999,14089,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",AL
0103799999,391,458,509,687,786,1,37,99999,12202,Coosa County,NCNTY01037N01037,"Coosa County, AL",AL
0103999999,403,408,504,643,866,1,39,99999,37631,Covington County,NCNTY01039N01039,"Covington County, AL",AL
0104199999,372,456,544,652,671,1,41,99999,13665,Crenshaw County,NCNTY01041N01041,"Crenshaw County, AL",AL
0104399999,440,460,532,731,859,1,43,99999,77483,Cullman County,NCNTY01043N01043,"Cullman County, AL",AL
0104599999,398,465,517,718,893,1,45,99999,49129,Dale County,NCNTY01045N01045,"Dale County, AL",AL
0104799999,344,480,532,637,674,1,47,99999,46365,Dallas County,NCNTY01047N01047,"Dallas County, AL",AL
0104999999,379,433,516,666,722,1,49,99999,64452,DeKalb County,NCNTY01049N01049,"DeKalb County, AL",AL
0105199999,542,623,708,951,1241,1,51,99999,65874,Elmore County,METRO33860M33860,"Montgomery, AL MSA",AL
0105399999,404,405,489,613,713,1,53,99999,38440,Escambia County,NCNTY01053N01053,"Escambia County, AL",AL
0105599999,428,489,569,743,768,1,55,99999,103459,Etowah County,METRO23460M23460,"Gadsden, AL MSA",AL
0105799999,316,365,481,703,848,1,57,99999,18495,Fayette County,NCNTY01057N01057,"Fayette County, AL",AL
0105999999,328,421,503,650,848,1,59,99999,31223,Franklin County,NCNTY01059N01059,"Franklin County, AL",AL
0106199999,413,481,534,678,778,1,61,99999,25764,Geneva County,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",AL
0106399999,488,547,684,897,925,1,63,99999,9974,Greene County,METRO46220M46220,"Tuscaloosa, AL MSA",AL
0106599999,488,547,684,897,925,1,65,99999,17185,Hale County,METRO46220M46220,"Tuscaloosa, AL MSA",AL
0106799999,342,474,526,628,730,1,67,99999,16310,Henry County,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",AL
0106999999,413,481,534,678,778,1,69,99999,88787,Houston County,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",AL
0107199999,418,446,502,635,884,1,71,99999,53926,Jackson County,NCNTY01071N01071,"Jackson County, AL",AL
0107399999,584,672,749,954,1024,1,73,99999,662047,Jefferson County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",AL
0107599999,321,402,481,640,842,1,75,99999,15904,Lamar County,NCNTY01075N01075,"Lamar County, AL",AL
0107799999,467,469,575,758,882,1,77,99999,87966,Lauderdale County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",AL
0107999999,437,498,561,766,788,1,79,99999,34803,Lawrence County,METRO19460M19460,"Decatur, AL MSA",AL
0108199999,408,487,627,853,875,1,81,99999,115092,Lee County,METRO12220M12220,"Auburn-Opelika, AL MSA",AL
0108399999,504,538,645,885,1044,1,83,99999,65676,Limestone County,METRO26620M26620,"Huntsville, AL MSA",AL
0108599999,542,623,708,951,1241,1,85,99999,13473,Lowndes County,METRO33860M33860,"Montgomery, AL MSA",AL
0108799999,370,428,527,678,699,1,87,99999,24105,Macon County,NCNTY01087N01087,"Macon County, AL",AL
0108999999,504,538,645,885,1044,1,89,99999,276700,Madison County,METRO26620M26620,"Huntsville, AL MSA",AL
0109199999,433,439,522,642,658,1,91,99999,22539,Marengo County,NCNTY01091N01091,"Marengo County, AL",AL
0109399999,313,365,481,621,844,1,93,99999,31214,Marion County,NCNTY01093N01093,"Marion County, AL",AL
0109599999,449,487,542,745,798,1,95,99999,82231,Marshall County,NCNTY01095N01095,"Marshall County, AL",AL
0109799999,553,586,669,880,1062,1,97,99999,399843,Mobile County,METRO33660M33660,"Mobile, AL MSA",AL
0109999999,400,433,481,702,793,1,99,99999,24324,Monroe County,NCNTY01099N01099,"Monroe County, AL",AL
0110199999,542,623,708,951,1241,1,101,99999,223510,Montgomery County,METRO33860M33860,"Montgomery, AL MSA",AL
0110399999,437,498,561,766,788,1,103,99999,111064,Morgan County,METRO19460M19460,"Decatur, AL MSA",AL
0110599999,433,439,522,642,658,1,105,99999,11861,Perry County,NCNTY01105N01105,"Perry County, AL",AL
0110799999,316,395,481,630,843,1,107,99999,20949,Pickens County,NCNTY01107N01107,"Pickens County, AL",AL
0110999999,365,400,481,625,645,1,109,99999,29605,Pike County,NCNTY01109N01109,"Pike County, AL",AL
0111199999,431,432,517,641,850,1,111,99999,22380,Randolph County,NCNTY01111N01111,"Randolph County, AL",AL
0111399999,564,597,680,896,1061,1,113,99999,49756,Russell County,METRO17980M17980,"Columbus, GA-AL MSA",AL
0111599999,584,672,749,954,1024,1,115,99999,64742,St. Clair County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",AL
0111799999,584,672,749,954,1024,1,117,99999,143293,Shelby County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",AL
0111999999,321,423,481,640,842,1,119,99999,14798,Sumter County,NCNTY01119N01119,"Sumter County, AL",AL
0112199999,437,438,525,711,926,1,121,99999,80321,Talladega County,NCNTY01121N01121,"Talladega County, AL",AL
0112399999,388,417,504,736,804,1,123,99999,41475,Tallapoosa County,NCNTY01123N01123,"Tallapoosa County, AL",AL
0112599999,488,547,684,897,925,1,125,99999,164875,Tuscaloosa County,METRO46220M46220,"Tuscaloosa, AL MSA",AL
0112799999,464,466,557,720,893,1,127,99999,70713,Walker County,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",AL
0112999999,399,408,481,606,782,1,129,99999,18097,Washington County,NCNTY01129N01129,"Washington County, AL",AL
0113199999,399,408,481,606,782,1,131,99999,13183,Wilcox County,NCNTY01131N01131,"Wilcox County, AL",AL
0113399999,318,371,487,584,724,1,133,99999,24843,Winston County,NCNTY01133N01133,"Winston County, AL",AL
0201399999,860,932,1222,1496,1541,2,13,99999,2697,Aleutians East Borough,NCNTY02013N02013,"Aleutians East Borough, AK",AK
0201699999,860,932,1222,1496,1541,2,16,99999,5465,Aleutians West Census Area,NCNTY02016N02016,"Aleutians West Census Area, AK",AK
0202099999,682,778,975,1421,1712,2,20,99999,260283,Anchorage Municipality,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",AK
0205099999,988,1187,1440,1722,2527,2,50,99999,16006,Bethel Census Area,NCNTY02050N02050,"Bethel Census Area, AK",AK
0206099999,860,932,1222,1496,1541,2,60,99999,1258,Bristol Bay Borough,NCNTY02060N02060,"Bristol Bay Borough, AK",AK
0206899999,673,847,1037,1497,1642,2,68,99999,1893,Denali Borough,NCNTY02068N02068,"Denali Borough, AK",AK
0207099999,860,932,1222,1496,1541,2,70,99999,4922,Dillingham Census Area,NCNTY02070N02070,"Dillingham Census Area, AK",AK
0209099999,638,774,982,1409,1519,2,90,99999,82840,Fairbanks North Star Borough,METRO21820M21820,"Fairbanks, AK MSA",AK
0210099999,673,847,1037,1497,1642,2,100,99999,2392,Haines Borough,NCNTY02100N02100,"Haines Borough, AK",AK
0211099999,813,980,1250,1650,2109,2,110,99999,30711,Juneau City and Borough,NCNTY02110N02110,"Juneau City and Borough, AK",AK
0212299999,598,691,830,1153,1433,2,122,99999,49691,Kenai Peninsula Borough,NCNTY02122N02122,"Kenai Peninsula Borough, AK",AK
0213099999,725,961,1113,1622,1953,2,130,99999,14070,Ketchikan Gateway Borough,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",AK
0215099999,804,941,1237,1736,1786,2,150,99999,13913,Kodiak Island Borough,NCNTY02150N02150,"Kodiak Island Borough, AK",AK
0216499999,860,932,1222,1496,1541,2,164,99999,1823,Lake and Peninsula Borough,NCNTY02164N02164,"Lake and Peninsula Borough, AK",AK
0217099999,601,725,899,1310,1552,2,170,99999,59322,Matanuska-Susitna Borough,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",AK
0218099999,860,1005,1224,1496,1542,2,180,99999,9196,Nome Census Area,NCNTY02180N02180,"Nome Census Area, AK",AK
0218599999,873,1024,1345,1610,1657,2,185,99999,7385,North Slope Borough,NCNTY02185N02185,"North Slope Borough, AK",AK
0218899999,860,932,1222,1496,1541,2,188,99999,7208,Northwest Arctic Borough,NCNTY02188N02188,"Northwest Arctic Borough, AK",AK
0220199999,860,932,1222,1496,1541,2,201,99999,6146,Prince of Wales-Outer Ketchikan Census Area,NCNTY02201N02201,"Prince of Wales-Outer Ketchikan Census Area, AK",AK
0222099999,738,892,1095,1542,1922,2,220,99999,8835,Sitka City and Borough,NCNTY02220N02220,"Sitka City and Borough, AK",AK
0223299999,860,932,1222,1496,1541,2,232,99999,3436,Skagway-Hoonah-Angoon Census Area,NCNTY02232N02232,"Skagway-Hoonah-Angoon Census Area, AK",AK
0224099999,673,847,1037,1497,1642,2,240,99999,6174,Southeast Fairbanks Census Area,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",AK
0226199999,673,847,1037,1497,1642,2,261,99999,10195,Valdez-Cordova Census Area,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",AK
0227099999,860,932,1222,1496,1541,2,270,99999,7028,Wade Hampton Census Area,NCNTY02270N02270,"Wade Hampton Census Area, AK",AK
0228099999,860,932,1222,1496,1541,2,280,99999,6684,Wrangell-Petersburg Census Area,NCNTY02280N02280,"Wrangell-Petersburg Census Area, AK",AK
0228299999,860,932,1222,1496,1541,2,282,99999,808,Yakutat City and Borough,NCNTY02282N02282,"Yakutat City and Borough, AK",AK
0229099999,860,932,1222,1496,1541,2,290,99999,6551,Yukon-Koyukuk Census Area,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",AK
0400199999,407,544,602,843,1032,4,1,99999,69423,Apache County,NCNTY04001N04001,"Apache County, AZ",AZ
0400399999,488,574,727,1010,1278,4,3,99999,117755,Cochise County,NCNTY04003N04003,"Cochise County, AZ",AZ
0400599999,845,974,1109,1443,1900,4,5,99999,116320,Coconino County,METRO22380M22380,"Flagstaff, AZ MSA",AZ
0400799999,553,647,850,1218,1255,4,7,99999,51335,Gila County,NCNTY04007N04007,"Gila County, AZ",AZ
0400999999,553,597,665,940,1045,4,9,99999,33489,Graham County,NCNTY04009N04009,"Graham County, AZ",AZ
0401199999,504,572,721,998,1170,4,11,99999,8547,Greenlee County,NCNTY04011N04011,"Greenlee County, AZ",AZ
0401299999,555,556,702,1026,1055,4,12,99999,19715,La Paz County,NCNTY04012N04012,"La Paz County, AZ",AZ
0401399999,609,715,862,1256,1498,4,13,99999,3072149,Maricopa County,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",AZ
0401599999,611,653,771,1089,1236,4,15,99999,155032,Mohave County,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",AZ
0401799999,499,554,716,972,1247,4,17,99999,97470,Navajo County,NCNTY04017N04017,"Navajo County, AZ",AZ
0401999999,501,588,769,1110,1246,4,19,99999,843746,Pima County,METRO46060M46060,"Tucson, AZ MSA",AZ
0402199999,609,715,862,1256,1498,4,21,99999,179727,Pinal County,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",AZ
0402399999,573,575,739,1073,1105,4,23,99999,38381,Santa Cruz County,NCNTY04023N04023,"Santa Cruz County, AZ",AZ
0402599999,692,703,867,1263,1315,4,25,99999,167517,Yavapai County,METRO39140M39140,"Prescott, AZ MSA",AZ
0402799999,591,659,783,1116,1317,4,27,99999,160026,Yuma County,METRO49740M49740,"Yuma, AZ MSA",AZ
0500199999,371,430,566,747,769,5,1,99999,20749,Arkansas County,NCNTY05001N05001,"Arkansas County, AR",AR
0500399999,403,462,581,709,730,5,3,99999,24209,Ashley County,NCNTY05003N05003,"Ashley County, AR",AR
0500599999,420,479,590,773,1037,5,5,99999,38386,Baxter County,NCNTY05005N05005,"Baxter County, AR",AR
