"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene* TX MSA","3470",3470,0,0,0
"2","Albany* GA MSA","6858",6858,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","29457",28589,230,0,638
"4","Albuquerque* NM MSA","58507",49858,0,649,8000
"5","Alexandria* LA MSA","4732",4732,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","23888",21182,0,306,2400
"7","Altoona* PA MSA","1125",1125,0,0,0
"8","Amarillo* TX MSA","9889",9889,0,0,0
"9","Anchorage* AK MSA","35958",23069,11744,0,1145
"10","Anniston* AL MSA","4086",4086,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","22595",21180,499,0,916
"12","Asheville* NC MSA","22758",19639,220,0,2899
"13","Athens* GA MSA","12316",12316,0,0,0
"14","Atlanta  GA MSA","615122",525252,342,300,89228
"15","Auburn-Opelika* AL MSA","6130",5074,106,0,950
"16","Augusta-Aiken* GA-SC MSA","28525",25332,0,0,3193
"17","Austin-San Marcos* TX MSA","143165",82094,623,1679,58769
"18","Bakersfield* CA MSA","45415",45415,0,0,0
"19","Bangor* ME MSA","2322",2322,0,0,0
"20","Barnstable-Yarmouth* MA MSA","23245",22576,265,404,0
"21","Baton Rouge* LA MSA","21408",13358,0,0,8050
"22","Beaumont-Port Arthur* TX MSA","7906",7906,0,0,0
"23","Bellingham* WA MSA","14139",12006,624,0,1509
"24","Benton Harbor* MI MSA","3058",3058,0,0,0
"25","Billings* MT MSA","6745",6745,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","17457",17457,0,0,0
"27","Binghamton* NY MSA","1562",1562,0,0,0
"28","Birmingham* AL MSA","53092",52712,0,0,380
"29","Bismarck* ND MSA","13516",8808,572,350,3786
"30","Bloomington* IN MSA","8347",7880,171,296,0
"31","Bloomington-Normal* IL MSA","11719",10611,0,0,1108
"32","Boise City* ID MSA","72225",71697,281,247,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","253248",213313,4902,15073,19960
"34","Brownsville-Harlingen-San  Benito* TX MSA","13814",13552,57,0,205
"35","Bryan-College Station* TX MSA","11281",9266,1691,324,0
"36","Buffalo-Niagara Falls* NY MSA","38818",27723,258,0,10837
"37","Burlington* VT MSA","8680",7718,50,0,912
"38","Canton-Massillon* OH MSA","17590",17590,0,0,0
"39","Casper* WY MSA","2045",2045,0,0,0
"40","Cedar Rapids* IA MSA","12974",10917,893,564,600
"41","Champaign-Urbana* IL MSA","7102",7102,0,0,0
"42","Charleston-North  Charleston* SC MSA","55961",51150,130,231,4450
"43","Charleston* WV MSA","4045",3605,0,184,256
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","199687",161474,593,2507,35113
"45","Charlottesville* VA MSA","25805",16693,106,0,9006
"46","Chattanooga* TN-GA MSA","25985",25497,56,136,296
"47","Cheyenne* WY MSA","4486",4486,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","592761",516243,6398,12945,57175
"49","Chico-Paradise* CA MSA","14137",12503,163,0,1471
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","145351",132620,316,1191,11224
"51","Clarksville-Hopkinsville*  TN-KY MSA","8744",8394,210,140,0
"52","Cleveland-Akron  OH CMSA","159450",154055,909,2938,1548
"53","Colorado Springs* CO MSA","289547",289232,0,315,0
"54","Columbia* MO MSA","12755",11566,317,0,872
"55","Columbia* SC MSA","32991",32991,0,0,0
"56","Columbus* GA-AL MSA","15540",14704,196,0,640
"57","Columbus  OH MSA","189920",168912,2736,5018,13254
"58","Corpus Christi* TX MSA","8482",7689,0,793,0
"59","Corvallis OR MSA*","4920",4725,195,0,0
"60","Cumberland* MD-WV MSA","977",977,0,0,0
"61","Dallas-Fort Worth  TX CMSA","641164",574538,757,3435,62434
"62","Danville* VA MSA","2659",2659,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","11842",9892,343,0,1607
"64","Dayton-Springfield* OH MSA","41917",30434,688,8133,2662
"65","Daytona Beach* FL MSA","59300",49363,748,633,8556
"66","Decatur* Al MSA","4385",4385,0,0,0
"67","Decatur* IL MSA","2318",1926,0,0,392
"68","Denver-Boulder-Greeley  CO  CMSA","439392",317982,2566,3977,114867
"69","Des Moines* IA MSA","42153",39091,511,599,1952
"70","Detroit-Ann Arbor-Flint  MI  CMSA","327973",296655,2323,2326,26669
"71","Dothan* AL MSA","1657",1657,0,0,0
"72","Dover* DE MSA","9000",9000,0,0,0
"73","Dubuque* IA MSA","5203",4660,0,543,0
"74","Duluth-Superior* MN-WI MSA","8950",8650,76,224,0
"75","Eau Claire* WI MSA","16655",9689,1383,2903,2680
"76","El Paso* TX MSA","18045",17988,57,0,0
"77","Elkhart-Goshen* IN MSA","9486",9204,100,0,182
"78","Elmira* NY MSA","733",733,0,0,0
"79","Enid* OK MSA","600",600,0,0,0
"80","Erie* PA MSA","5350",4454,0,496,400
"81","Eugene-Springfield* OR MSA","20575",20284,291,0,0
"82","Evansville-Henderson* IN-KY  MSA","15156",15076,0,80,0
"83","Fargo-Moorhead* ND-MN MSA","12948",10266,0,962,1720
"84","Fayetteville* NC MSA","11406",11406,0,0,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","35921",33232,1342,177,1170
"86","Flagstaff* AZ-UT MSA","8764",8764,0,0,0
"87","Florence* AL MSA","986",986,0,0,0
"88","Florence* SC MSA","4862",4515,0,0,347
"89","Fort Collins-Loveland* CO MSA","40276",36712,0,536,3028
"90","Fort Myers-Cape Coral* FL MSA","118640",83864,4380,13312,17084
"91","Fort Pierce-Port St. Lucie*  FL MSA","56797",42639,0,1164,12994
"92","Fort Smith* AR-OK MSA","4906",4461,445,0,0
"93","Fort Walton Beach* FL MSA","13995",13116,0,0,879
"94","Fort Wayne* IN MSA","48736",44362,569,0,3805
"95","Fresno  CA MSA","57075",55813,124,384,754
"96","Gadsden* AL MSA","1072",1072,0,0,0
"97","Gainesville* FL MSA","15608",10732,0,533,4343
"98","Glens Falls* NY MSA","7207",6960,247,0,0
"99","Goldsboro* NC MSA","4288",4206,82,0,0
"100","Grand Forks* ND-MN MSA","2084",1869,215,0,0
"101","Grand Junction* CO MSA","12274",10489,0,367,1418
"102","Grand Rapids-Muskegon-  Holland  MI MSA","82825",80825,410,0,1590
"103","Great Falls* MT MSA","1080",1080,0,0,0
"104","Green Bay* WI MSA","23650",19674,526,0,3450
"105","Greensboro--Winston-Salem--  High Point  NC MSA","122667",108026,438,0,14203
"106","Greenville* NC MSA","18567",11714,2304,0,4549
"107","Greenville-Spartanburg-  Anderson* SC MSA","66205",63371,80,0,2754
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","17964",17964,0,0,0
"109","Hartford* CT MSA","41189",40230,385,507,67
"110","Hattiesburg* MS MSA","919",769,0,150,0
"111","Hickory-Morganton-Lenoir*  NC MSA","25773",24476,240,190,867
"112","Honolulu  HI MSA","38819",35696,1187,548,1388
"113","Houma* LA MSA","7047",7047,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","413429",376963,507,0,35959
"115","Huntington-Ashland* WV-KY-  OH MSA","661",363,0,298,0
"116","Huntsville* AL MSA","5823",5571,0,252,0
"117","Indianapolis  IN MSA","271579",265527,4428,900,724
"118","Iowa City* IA MSA","12818",9190,588,0,3040
"119","Jackson* MI MSA","927",927,0,0,0
"120","Jackson* MS MSA","30609",30609,0,0,0
"121","Jackson* TN MSA","5198",5198,0,0,0
