"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene* TX MSA","1322",1322,0,0,0
"2","Albany* GA MSA","6277",4946,1331,0,0
"3","Albany-Schenectady-Troy* NY  MSA","33831",31221,130,0,2480
"4","Albuquerque* NM MSA","58574",45604,0,170,12800
"5","Alexandria* LA MSA","3203",3203,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","41696",23196,0,0,18500
"7","Altoona* PA MSA","582",582,0,0,0
"8","Amarillo* TX MSA","6110",6110,0,0,0
"9","Anchorage* AK MSA","15205",8292,6042,871,0
"10","Anniston* AL MSA","2292",2292,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","18211",17371,170,0,670
"12","Asheville* NC MSA","16088",15212,377,360,139
"13","Athens* GA MSA","16052",15221,831,0,0
"14","Atlanta  GA MSA","415032",364611,998,510,48913
"15","Auburn-Opelika* AL MSA","10257",6993,106,349,2809
"16","Augusta-Aiken* GA-SC MSA","30583",21532,0,0,9051
"17","Austin-San Marcos* TX MSA","53141",44958,1108,0,7075
"18","Bakersfield* CA MSA","32898",32898,0,0,0
"19","Bangor* ME MSA","1975",1811,164,0,0
"20","Barnstable-Yarmouth* MA MSA","17914",17914,0,0,0
"21","Baton Rouge* LA MSA","17694",7534,0,0,10160
"22","Beaumont-Port Arthur* TX MSA","2977",2977,0,0,0
"23","Bellingham* WA MSA","13314",11276,209,0,1829
"24","Benton Harbor* MI MSA","1779",1779,0,0,0
"25","Billings* MT MSA","6472",3774,86,0,2612
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","14055",13367,688,0,0
"27","Binghamton* NY MSA","1215",1215,0,0,0
"28","Birmingham* AL MSA","43617",43227,0,0,390
"29","Bismarck* ND MSA","4935",4359,0,0,576
"30","Bloomington* IN MSA","6734",5758,360,319,297
"31","Bloomington-Normal* IL MSA","5565",4634,131,0,800
"32","Boise City* ID MSA","68636",67112,618,522,384
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","190838",168311,6339,6771,9417
"34","Brownsville-Harlingen-San  Benito* TX MSA","13165",12475,168,157,365
"35","Bryan-College Station* TX MSA","6589",6503,86,0,0
"36","Buffalo-Niagara Falls* NY MSA","23059",21941,279,0,839
"37","Burlington* VT MSA","6907",5849,0,0,1058
"38","Canton-Massillon* OH MSA","14851",14334,517,0,0
"39","Casper* WY MSA","2928",2928,0,0,0
"40","Cedar Rapids* IA MSA","8410",6802,568,513,527
"41","Champaign-Urbana* IL MSA","11463",5474,648,0,5341
"42","Charleston-North  Charleston* SC MSA","54611",49813,1408,1399,1991
"43","Charleston* WV MSA","1925",1925,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","161781",150970,219,1033,9559
"45","Charlottesville* VA MSA","12069",11944,125,0,0
"46","Chattanooga* TN-GA MSA","21631",19310,680,309,1332
"47","Cheyenne* WY MSA","2520",2520,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","500645",443124,6885,9736,40900
"49","Chico-Paradise* CA MSA","8995",8995,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","108498",103721,757,477,3543
"51","Clarksville-Hopkinsville*  TN-KY MSA","9830",9046,284,0,500
"52","Cleveland-Akron  OH CMSA","123280",117045,849,2871,2515
"53","Colorado Springs* CO MSA","41345",39500,124,1721,0
"54","Columbia* MO MSA","13696",13026,670,0,0
"55","Columbia* SC MSA","31313",31045,115,0,153
"56","Columbus* GA-AL MSA","12705",8953,2878,874,0
"57","Columbus  OH MSA","156727",139591,978,2454,13704
"58","Corpus Christi* TX MSA","7001",6464,129,408,0
"59","Corvallis OR MSA*","6593",4182,185,0,2226
"60","Cumberland* MD-WV MSA","607",607,0,0,0
"61","Dallas-Fort Worth  TX CMSA","480522",440848,1477,0,38197
"62","Danville* VA MSA","2327",2171,0,156,0
