"city","state","msa_code"
"Corning","NY",18500
"Corpus Christi","TX",18580
"Corsicana","TX",18620
"Cortland","NY",18660
"Corvallis","OR",18700
"Coshocton","OH",18740
"Crawfordsville","IN",18820
"Crescent City","CA",18860
"Crescent City North","CA",18860
"Crossville","TN",18900
"Crowley","LA",18940
"Cullman","AL",18980
"Culpeper","VA",19020
"Cumberland","MD",19060
"Cumberland","WV",19060
"Dallas-Fort Worth-Arlington","TX",19100
"Dalton","GA",19140
"Danville","IL",19180
"Danville","KY",19220
"Danville","VA",19260
"Daphne-Fairhope","AL",19300
"Daphne-Fairhope-Foley","AL",19300
"Davenport-Moline-Rock Island","IA",19340
"Davenport-Moline-Rock Island","IL",19340
"Dayton","OH",19380
"Decatur","AL",19460
"Decatur","IL",19500
"Decatur","IN",19540
"Defiance","OH",19580
"Del Rio","TX",19620
"Deltona-Daytona Beach-Ormond Beach","FL",19660
"Deming","NM",19700
"Denver-Aurora","CO",19740
"Denver-Aurora-Broomfield","CO",19740
"De Ridder","LA",19760
"Des Moines","IA",19780
"Des Moines-West Des Moines","IA",19780
"Detroit-Warren-Livonia","MI",19820
"Dickinson","ND",19860
"Dillon","SC",19900
"Dixon","IL",19940
"Dodge City","KS",19980
"Dothan","AL",20020
"Douglas","GA",20060
"Dover","DE",20100
"Dublin","GA",20140
"DuBois","PA",20180
"Dubuque","IA",20220
"Duluth","MN",20260
"Duluth","WI",20260
"Dumas","TX",20300
"Duncan","OK",20340
"Dunn","NC",20380
"Durango","CO",20420
"Durant","OK",20460
"Durham","NC",20500
"Durham-Chapel Hill","NC",20500
"Dyersburg","TN",20540
"Eagle Pass","TX",20580
"East Liverpool-Salem","OH",20620
"Easton","MD",20660
"East Stroudsburg","PA",20700
"Eau Claire","WI",20740
"Edwards","CO",20780
"Effingham","IL",20820
"El Campo","TX",20900
"El Centro","CA",20940
"El Dorado","AR",20980
"Elizabeth City","NC",21020
"Elizabethtown","KY",21060
"Elk City","OK",21120
"Elkhart-Goshen","IN",21140
"Elko","NV",21220
"Ellensburg","WA",21260
"Elmira","NY",21300
"El Paso","TX",21340
"Emporia","KS",21380
"Enid","OK",21420
"Enterprise-Ozark","AL",21460
"Erie","PA",21500
"Escanaba","MI",21540
"Espanola","NM",21580
"Eufaula","AL",21640
"Eufaula","GA",21640
"Eugene-Springfield","OR",21660
"Eureka-Arcata-Fortuna","CA",21700
"Evanston","WY",21740
"Evansville","IN",21780
"Evansville","KY",21780
"Fairbanks","AK",21820
"Fairmont","MN",21860
"Fairmont","WV",21900
"Fajardo","PR",21940
"Fallon","NV",21980
"Fargo","ND",22020
"Fargo","MN",22020
"Faribault-Northfield","MN",22060
"Farmington","MO",22100
"Farmington","NM",22140
"Fayetteville","NC",22180
"Fayetteville-Springdale-Rogers","AR",22220
"Fayetteville-Springdale-Rogers","MO",22220
"Fergus Falls","MN",22260
"Fernley","NV",22280
"Findlay","OH",22300
"Fitzgerald","GA",22340
"Flagstaff","AZ",22380
"Flint","MI",22420
"Florence","AL",22460
"Florence","SC",22500
"Florence-Muscle Shoals","AL",22520
"Fond du Lac","WI",22540
"Forest City","NC",22580
"Forrest City","AR",22620
"Fort Collins-Loveland","CO",22660
"Fort Dodge","IA",22700
"Fort Leonard Wood","MO",22780
"Fort Madison-Keokuk","IA",22800
"Fort Madison-Keokuk","MO",22800
"Fort Morgan","CO",22820
"Fort Payne","AL",22840
"Fort Polk South","LA",22860
"Fort Smith","AR",22900
"Fort Smith","OK",22900
"Fort Valley","GA",22980
"Fort Walton Beach-Crestview-Destin","FL",23020
"Fort Wayne","IN",23060
"Frankfort","IN",23140
"Frankfort","KY",23180
"Fredericksburg","TX",23240
"Freeport","IL",23300
"Fremont","NE",23340
"Fremont","OH",23380
"Fresno","CA",23420
"Gadsden","AL",23460
"Gaffney","SC",23500
"Gainesville","FL",23540
"Gainesville","GA",23580
"Gainesville","TX",23620
"Galesburg","IL",23660
"Gallup","NM",23700
"Garden City","KS",23780
"Gardnerville Ranchos","NV",23820
"Georgetown","SC",23860
"Gettysburg","PA",23900
"Gillette","WY",23940
"Glasgow","KY",23980
"Glens Falls","NY",24020
"Gloversville","NY",24100
"Goldsboro","NC",24140
"Granbury","TX",24180
"Grand Forks","ND",24220
"Grand Forks","MN",24220
"Grand Island","NE",24260
"Grand Junction","CO",24300
"Grand Rapids-Wyoming","MI",24340
"Grants","NM",24380
"Grants Pass","OR",24420
"Great Bend","KS",24460
"Great Falls","MT",24500
"Greeley","CO",24540
"Green Bay","WI",24580
"Greeneville","TN",24620
"Greensboro-High Point","NC",24660
"Greensburg","IN",24700
"Greenville","MS",24740
"Greenville","NC",24780
"Greenville","OH",24820
"Greenville","SC",24860
"Greenville-Mauldin-Easley","SC",24860
"Greenwood","MS",24900
"Greenwood","SC",24940
"Grenada","MS",24980
"Guayama","PR",25020
"Gulfport-Biloxi","MS",25060
"Guymon","OK",25100
"Hagerstown-Martinsburg","MD",25180
"Hagerstown-Martinsburg","WV",25180
"Hammond","LA",25220
"Hanford-Corcoran","CA",25260
"Hannibal","MO",25300
"Harriman","TN",25340
"Harrisburg","IL",25380
"Harrisburg-Carlisle","PA",25420
"Harrison","AR",25460
"Harrisonburg","VA",25500
"Hartford-West Hartford-East Hartford","CT",25540
"Hastings","NE",25580
"Hattiesburg","MS",25620
"Havre","MT",25660
"Hays","KS",25700
"Heber","UT",25720
"Helena","MT",25740
"Helena-West Helena","AR",25760
"Henderson","NC",25780
"Hereford","TX",25820
"Hickory-Lenoir-Morganton","NC",25860
"Hickory-Morganton-Lenoir","NC",25860
"Hilo","HI",25900
"Hilton Head Island-Beaufort","SC",25940
"Hinesville-Fort Stewart","GA",25980
"Hobbs","NM",26020
"Holland-Grand Haven","MI",26100
"Homosassa Springs","FL",26140
"Honolulu","HI",26180
"Hood River","OR",26220
"Hope","AR",26260
"Hot Springs","AR",26300
"Houghton","MI",26340
"Houma-Bayou Cane-Thibodaux","LA",26380
"Houston-Baytown-Sugar Land","TX",26420
"Houston-Sugar Land-Baytown","TX",26420
"Hudson","NY",26460
"Humboldt","TN",26480
"Huntingdon","PA",26500
"Huntington","IN",26540
"Huntington-Ashland","WV",26580
"Huntington-Ashland","KY",26580
"Huntington-Ashland","OH",26580
"Huntsville","AL",26620
"Huntsville","TX",26660
"Huron","SD",26700
"Hutchinson","KS",26740
"Hutchinson","MN",26780
"Idaho Falls","ID",26820
"Indiana","PA",26860
"Indianapolis","IN",26900
"Indianapolis-Carmel","IN",26900
"Indianola","MS",26940
"Iowa City","IA",26980
"Iron Mountain","MI",27020
"Iron Mountain","WI",27020
"Ithaca","NY",27060
"Jackson","MI",27100
"Jackson","MS",27140
"Jackson","TN",27180
"Jackson","WY",27220
"Jackson","ID",27220
"Jacksonville","FL",27260
"Jacksonville","IL",27300
"Jacksonville","NC",27340
"Jacksonville","TX",27380
"Jamestown","ND",27420
"Jamestown-Dunkirk-Fredonia","NY",27460
"Janesville","WI",27500
"Jasper","IN",27540
"Jayuya","PR",27580
"Jefferson City","MO",27620
"Jennings","LA",27660
"Jesup","GA",27700
"Johnson City","TN",27740
"Johnstown","PA",27780
"Jonesboro","AR",27860
"Joplin","MO",27900
"Juneau","AK",27940
"Kahului-Wailuku","HI",27980
"Kalamazoo-Portage","MI",28020
"Kalispell","MT",28060
"Kankakee-Bradley","IL",28100
"Kansas City","MO",28140
"Kansas City","KS",28140
"Kapaa","HI",28180
"Kearney","NE",28260
"Keene","NH",28300
"Kendallville","IN",28340
"Kennett","MO",28380
"Kennewick-Richland-Pasco","WA",28420
"Kennewick-Pasco-Richland","WA",28420
"Keokuk-Fort Madison","IA",28460
"Keokuk-Fort Madison","MO",28460
"Kerrville","TX",28500
"Ketchikan","AK",28540
"Key West-Marathon","FL",28580
"Key West","FL",28580
"Kill Devil Hills","NC",28620
"Killeen-Temple-Fort Hood","TX",28660
"Kingsport-Bristol-Bristol","TN",28700
"Kingsport-Bristol-Bristol","VA",28700
"Kingsport-Bristol","TN",28700
"Kingsport-Bristol","VA",28700
"Kingston","NY",28740
"Kingsville","TX",28780
"Kinston","NC",28820
"Kirksville","MO",28860
"Klamath Falls","OR",28900
"Knoxville","TN",28940
"Kodiak","AK",28980
"Kokomo","IN",29020
"Laconia","NH",29060
"La Crosse","WI",29100
"La Crosse","MN",29100
"Lafayette","IN",29140
"Lafayette","LA",29180
"La Follette","TN",29220
"La Grande","OR",29260
"LaGrange","GA",29300
"Lake Charles","LA",29340
"Lake City","FL",29380
"Lake Havasu City-Kingman","AZ",29420
"Lakeland","FL",29460
"Lakeland-Winter Haven","FL",29460
"Lamesa","TX",29500
"Lancaster","PA",29540
"Lancaster","SC",29580
"Lansing-East Lansing","MI",29620
"Laramie","WY",29660
"Laredo","TX",29700
"Las Cruces","NM",29740
"Las Vegas","NM",29780
"Las Vegas-Paradise","NV",29820
"Laurel","MS",29860
"Laurinburg","NC",29900
"Lawrence","KS",29940
"Lawrenceburg","TN",29980
"Lawton","OK",30020
"Lebanon","MO",30060
"Lebanon","NH",30100
"Lebanon","VT",30100
"Lebanon","PA",30140
"Levelland","TX",30220
"Lewisburg","PA",30260
"Lewisburg","TN",30280
"Lewiston","ID",30300
"Lewiston","WA",30300
"Lewiston-Auburn","ME",30340
"Lewistown","PA",30380
"Lexington","NE",30420
"Lexington-Fayette","KY",30460
"Lexington Park","MD",30500
"Lexington-Thomasville","NC",30540
"Liberal","KS",30580
"Lima","OH",30620
"Lincoln","IL",30660
"Lincoln","NE",30700
"Lincolnton","NC",30740
"Little Rock-North Little Rock","AR",30780
"Little Rock-North Little Rock-Conway","AR",30780
"Lock Haven","PA",30820
"Logan","UT",30860
"Logan","ID",30860
"Logansport","IN",30900
"London","KY",30940
"Longview","TX",30980
"Longview","WA",31020
"Longview-Kelso","WA",31020
"Los Alamos","NM",31060
"Los Angeles-Long Beach-Santa Ana","CA",31100
"Louisville","KY",31140
"Louisville","IN",31140
"Louisville-Jefferson County","KY",31140
"Louisville-Jefferson County","IN",31140
"Louisville/Jefferson County","KY",31140
"Louisville/Jefferson County","IN",31140
"Lubbock","TX",31180
"Lufkin","TX",31260
"Lumberton","NC",31300
"Lynchburg","VA",31340
"Macomb","IL",31380
"Macon","GA",31420
"Madera","CA",31460
"Madera-Chowchilla","CA",31460
"Madison","IN",31500
"Madison","WI",31540
"Madisonville","KY",31580
"Magnolia","AR",31620
"Malone","NY",31660
"Manchester-Nashua","NH",31700
"Manhattan","KS",31740
"Manitowoc","WI",31820
"Mankato-North Mankato","MN",31860
"Mansfield","OH",31900
"Marinette","WI",31940
"Marinette","MI",31940
"Marion","IN",31980
"Marion","OH",32020
"Marion-Herrin","IL",32060
"Marquette","MI",32100
"Marshall","MN",32140
"Marshall","MO",32180
"Marshall","TX",32220
"Marshalltown","IA",32260
"Marshfield-Wisconsin Rapids","WI",32270
"Martin","TN",32280
"Martinsville","VA",32300
"Maryville","MO",32340
"Mason City","IA",32380
"Mayfield","KY",32460
"Maysville","KY",32500
"McAlester","OK",32540
"McAllen-Edinburg-Pharr","TX",32580
"McAllen-Edinburg-Mission","TX",32580
"McComb","MS",32620
"McMinnville","TN",32660
"McPherson","KS",32700
"Meadville","PA",32740
"Medford","OR",32780
"Memphis","TN",32820
"Memphis","MS",32820
"Memphis","AR",32820
"Menomonie","WI",32860
"Merced","CA",32900
"Meridian","MS",32940
"Merrill","WI",32980
"Mexico","MO",33020
"Miami","OK",33060
"Miami-Fort Lauderdale-Miami Beach","FL",33100
"Miami-Fort Lauderdale-Pompano Beach","FL",33100
"Michigan City-La Porte","IN",33140
"Middlesborough","KY",33180
"Midland","MI",33220
"Midland","TX",33260
"Milledgeville","GA",33300
"Milwaukee-Waukesha-West Allis","WI",33340
"Minden","LA",33380
"Mineral Wells","TX",33420
"Minneapolis-St. Paul-Bloomington","MN",33460
"Minneapolis-St. Paul-Bloomington","WI",33460
"Minot","ND",33500
"Missoula","MT",33540
"Mitchell","SD",33580
"Moberly","MO",33620
"Mobile","AL",33660
"Modesto","CA",33700
"Monroe","LA",33740
"Monroe","MI",33780
"Monroe","WI",33820
"Montgomery","AL",33860
"Montrose","CO",33940
"Morehead City","NC",33980
"Morgan City","LA",34020
"Morgantown","WV",34060
"Morristown","TN",34100
"Moscow","ID",34140
"Moses Lake","WA",34180
"Moultrie","GA",34220
"Mountain Home","AR",34260
"Mountain Home","ID",34300
"Mount Airy","NC",34340
"Mount Pleasant","MI",34380
"Mount Pleasant","TX",34420
"Mount Sterling","KY",34460
"Mount Vernon","IL",34500
"Mount Vernon","OH",34540
"Mount Vernon-Anacortes","WA",34580
"Muncie","IN",34620
"Murray","KY",34660
"Muscatine","IA",34700
"Muskegon-Norton Shores","MI",34740
"Muskogee","OK",34780
"Myrtle Beach-Conway-North Myrtle Beach","SC",34820
"Myrtle Beach-North Myrtle Beach-Conway","SC",34820
"Nacogdoches","TX",34860
"Napa","CA",34900
"Naples-Marco Island","FL",34940
"Nashville-Davidson--Murfreesboro","TN",34980
"Nashville-Davidson--Murfreesboro--Franklin","TN",34980
"Natchez","MS",35020
"Natchez","LA",35020
"Natchitoches","LA",35060
"New Bern","NC",35100
"Newberry","SC",35140
"New Castle","IN",35220
"New Castle","PA",35260
"New Haven-Milford","CT",35300
"New Iberia","LA",35340
"New Orleans-Metairie-Kenner","LA",35380
"New Philadelphia-Dover","OH",35420
"Newport","TN",35460
"Newton","IA",35500
"New Ulm","MN",35580
"New York-Northern New Jersey-Long Island","NY",35620
"New York-Northern New Jersey-Long Island","NJ",35620
"New York-Northern New Jersey-Long Island","PA",35620
"New York-Newark-Edison","NY",35620
"New York-Newark-Edison","NJ",35620
"New York-Newark-Edison","PA",35620
"Niles-Benton Harbor","MI",35660
"Nogales","AZ",35700
"Norfolk","NE",35740
"North Platte","NE",35820
"North Vernon","IN",35860
"North Wilkesboro","NC",35900
"Norwalk","OH",35940
"Norwich-New London","CT",35980
"Oak Harbor","WA",36020
"Oak Hill","WV",36060
"Ocala","FL",36100
"Ocean City","NJ",36140
"Ocean Pines","MD",36180
"Odessa","TX",36220
"Ogden-Clearfield","UT",36260
"Ogdensburg-Massena","NY",36300
"Oil City","PA",36340
"Okeechobee","FL",36380
"Oklahoma City","OK",36420
"Olean","NY",36460
"Olympia","WA",36500
"Omaha-Council Bluffs","NE",36540
"Omaha-Council Bluffs","IA",36540
"Oneonta","NY",36580
"Ontario","OR",36620
"Ontario","ID",36620
"Opelousas-Eunice","LA",36660
"Orangeburg","SC",36700
"Orlando","FL",36740
"Orlando-Kissimmee","FL",36740
"Oshkosh-Neenah","WI",36780
"Oskaloosa","IA",36820
"Ottawa-Streator","IL",36860
"Ottumwa","IA",36900
"Owatonna","MN",36940
"Owensboro","KY",36980
"Owosso","MI",37020
"Oxford","MS",37060
"Oxnard-Thousand Oaks-Ventura","CA",37100
"Paducah","KY",37140
"Paducah","IL",37140
"Pahrump","NV",37220
"Palatka","FL",37260
"Palestine","TX",37300
"Palm Bay-Melbourne-Titusville","FL",37340
"Palm Coast","FL",37380
"Pampa","TX",37420
"Panama City-Lynn Haven","FL",37460
"Panama City-Lynn Haven-Panama City Beach","FL",37460
"Paragould","AR",37500
"Paris","TN",37540
"Paris","TX",37580
"Parkersburg-Marietta","WV",37620
"Parkersburg-Marietta","OH",37620
"Parkersburg-Marietta-Vienna","WV",37620
"Parkersburg-Marietta-Vienna","OH",37620
"Parsons","KS",37660
"Pascagoula","MS",37700
"Payson","AZ",37740
"Pecos","TX",37780
"Pella","IA",37800
"Pendleton-Hermiston","OR",37820
"Pensacola-Ferry Pass-Brent","FL",37860
"Peoria","IL",37900
"Peru","IN",37940
"Philadelphia-Camden-Wilmington","PA",37980
"Philadelphia-Camden-Wilmington","NJ",37980
"Philadelphia-Camden-Wilmington","DE",37980
"Philadelphia-Camden-Wilmington","MD",37980
"Phoenix Lake-Cedar Ridge","CA",38020
"Phoenix-Mesa-Scottsdale","AZ",38060
"Picayune","MS",38100
"Pierre","SD",38180
"Pierre Part","LA",38200
"Pine Bluff","AR",38220
"Pittsburg","KS",38260
"Pittsburgh","PA",38300
"Pittsfield","MA",38340
"Plainview","TX",38380
"Platteville","WI",38420
"Plattsburgh","NY",38460
"Plymouth","IN",38500
"Pocatello","ID",38540
"Point Pleasant","WV",38580
"Point Pleasant","OH",38580
"Ponca City","OK",38620
"Ponce","PR",38660
"Pontiac","IL",38700
"Poplar Bluff","MO",38740
"Portales","NM",38780
"Port Angeles","WA",38820
"Portland-South Portland-Biddeford","ME",38860
"Portland-South Portland","ME",38860
"Portland-Vancouver-Beaverton","OR",38900
"Portland-Vancouver-Beaverton","WA",38900
"Port St. Lucie-Fort Pierce","FL",38940
"Port St. Lucie","FL",38940
"Portsmouth","OH",39020
"Pottsville","PA",39060
"Poughkeepsie-Newburgh-Middletown","NY",39100
"Prescott","AZ",39140
"Price","UT",39220
"Prineville","OR",39260
"Providence-New Bedford-Fall River","RI",39300
"Providence-New Bedford-Fall River","MA",39300
"Provo-Orem","UT",39340
"Pueblo","CO",39380
"Pullman","WA",39420
"Punta Gorda","FL",39460
"Quincy","IL",39500
"Quincy","MO",39500
"Racine","WI",39540
"Raleigh-Cary","NC",39580
"Rapid City","SD",39660
"Raymondville","TX",39700
"Reading","PA",39740
"Red Bluff","CA",39780
"Redding","CA",39820
"Red Wing","MN",39860
"Reno-Sparks","NV",39900
"Rexburg","ID",39940
"Richmond","IN",39980
"Richmond","KY",40020
"Richmond","VA",40060
"Richmond-Berea","KY",40080
"Rio Grande City","TX",40100
"Rio Grande City-Roma","TX",40100
"Riverside-San Bernardino-Ontario","CA",40140
"Riverton","WY",40180
"Roanoke","VA",40220
"Roanoke Rapids","NC",40260
"Rochelle","IL",40300
"Rochester","MN",40340
"Rochester","NY",40380
"Rockford","IL",40420
"Rockingham","NC",40460
"Rockland","ME",40500
"Rock Springs","WY",40540
"Rocky Mount","NC",40580
"Rolla","MO",40620
"Rome","GA",40660
"Roseburg","OR",40700
"Roswell","NM",40740
"Ruidoso","NM",40760
"Russellville","AR",40780
"Ruston","LA",40820
"Rutland","VT",40860
"Sacramento--Arden-Arcade--Roseville","CA",40900
"Safford","AZ",40940
"Saginaw-Saginaw Township North","MI",40980
"St. Cloud","MN",41060
"St. George","UT",41100
"St. Joseph","MO",41140
"St. Joseph","KS",41140
"St. Louis","MO",41180
"St. Louis","IL",41180
"St. Marys","GA",41220
"St. Marys","PA",41260
"Salem","OR",41420
"Salina","KS",41460
"Salinas","CA",41500
"Salisbury","MD",41540
"Salisbury","NC",41580
"Salt Lake City","UT",41620
"San Angelo","TX",41660
"San Antonio","TX",41700
"San Diego-Carlsbad-San Marcos","CA",41740
"Sandusky","OH",41780
"Sanford","NC",41820
"San Francisco-Oakland-Fremont","CA",41860
"San Jose-Sunnyvale-Santa Clara","CA",41940
"San Juan-Caguas-Guaynabo","PR",41980
"San Luis Obispo-Paso Robles","CA",42020
"Santa Barbara-Santa Maria-Goleta","CA",42060
"Santa Barbara-Santa Maria","CA",42060
"Santa Cruz-Watsonville","CA",42100
"Santa Fe","NM",42140
"Santa Isabel","PR",42180
"Santa Rosa-Petaluma","CA",42220
"Sarasota-Bradenton-Venice","FL",42260
"Sault Ste. Marie","MI",42300
"Savannah","GA",42340
"Sayre","PA",42380
"Scottsbluff","NE",42420
"Scottsboro","AL",42460
"Scottsburg","IN",42500
"Scranton--Wilkes-Barre","PA",42540
"Seaford","DE",42580
"Searcy","AR",42620
"Seattle-Tacoma-Bellevue","WA",42660
"Sebastian-Vero Beach","FL",42680
"Sebring","FL",42700
"Sedalia","MO",42740
"Selinsgrove","PA",42780
"Selma","AL",42820
"Seneca","SC",42860
"Seneca Falls","NY",42900
"Sevierville","TN",42940
"Seymour","IN",42980
"Shawnee","OK",43060
"Sheboygan","WI",43100
"Shelby","NC",43140
"Shelbyville","TN",43180
"Shelton","WA",43220
"Sheridan","WY",43260
"Sherman-Denison","TX",43300
"Show Low","AZ",43320
"Shreveport-Bossier City","LA",43340
"Sidney","OH",43380
"Sierra Vista-Douglas","AZ",43420
"Sikeston","MO",43460
"Silver City","NM",43500
"Silverthorne","CO",43540
"Sioux City","IA",43580
"Sioux City","NE",43580
"Sioux City","SD",43580
"Sioux Falls","SD",43620
"Snyder","TX",43660
"Somerset","KY",43700
"Somerset","PA",43740
"South Bend-Mishawaka","IN",43780
"South Bend-Mishawaka","MI",43780
"Southern Pines-Pinehurst","NC",43860
"Southern Pines","NC",43860
"Spartanburg","SC",43900
"Spearfish","SD",43940
"Spencer","IA",43980
"Spirit Lake","IA",44020
"Spokane","WA",44060
"Springfield","IL",44100
"Springfield","MA",44140
"Springfield","MO",44180
"Springfield","OH",44220
"Starkville","MS",44260
"State College","PA",44300
"Statesboro","GA",44340
"Statesville-Mooresville","NC",44380
"Staunton-Waynesboro","VA",44420
"Stephenville","TX",44500
"Sterling","CO",44540
"Sterling","IL",44580
"Stevens Point","WI",44620
"Stillwater","OK",44660
"Stockton","CA",44700
"Storm Lake","IA",44740
"Sturgis","MI",44780
"Sulphur Springs","TX",44860
"Summerville","GA",44900
"Sumter","SC",44940
"Sunbury","PA",44980
"Susanville","CA",45000
"Sweetwater","TX",45020
"Syracuse","NY",45060
"Tahlequah","OK",45140
"Talladega-Sylacauga","AL",45180
"Tallahassee","FL",45220
"Tallulah","LA",45260
"Tampa-St. Petersburg-Clearwater","FL",45300
