Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,230,15832280,68800,59100,4261,17.2
Feb,213,15693940,73700,63600,4111,16.3
Mar,269,19174882,71300,57200,4268,16.8
Apr,266,21829421,82100,60700,4282,16.6
May,324,24720376,76300,62400,4298,16.2
Jun,288,22101763,76700,61200,4340,16.4
Jul,348,26833276,77100,66800,4395,16.0
Aug,380,32617569,85800,67200,4358,15.5
Sep,303,24112110,79600,62100,4452,15.8
Oct,294,22489400,76500,60000,4383,15.3
Nov,230,15832280,68800,59100,4261,15.0
Dec,236,16487668,69900,57000,3817,13.5
1991-Jan,229,13958008,61000,52400,3844,13.6
Feb,158,11453420,72500,67600,3936,14.2
Mar,251,19410834,77300,61600,4046,14.7
Apr,268,20613756,76900,60500,4176,15.1
May,320,23509760,73500,62100,4114,14.9
Jun,326,26820672,82300,65500,3984,14.3
Jul,288,24302586,84400,68500,4120,15.1
Aug,320,26900000,84100,-,3950,14.7
Sep,260,21900000,84200,-,3850,14.5
Oct,238,20358020,85500,69200,3773,14.5
Nov,198,15915834,80400,67900,3601,14.0
Dec,230,19703180,85700,64000,3267,12.7
1992-Jan,156,11195808,71800,64200,3435,13.7
Feb,193,14974440,77600,68100,3582,14.1
Mar,286,23127962,80900,67500,3693,14.4
Apr,295,23814170,80700,63100,3647,14.1
May,311,23954464,77000,64800,3629,14.0
Jun,319,25663869,80500,64200,3662,14.2
Jul,301,23177602,77000,66600,3706,14.3
Aug,304,23872208,78500,67400,3608,14.0
Sep,303,24319386,80300,65100,3518,13.5
Oct,283,21415176,75700,66700,3487,13.2
Nov,237,18441444,77800,64700,3406,12.7
Dec,329,25517650,77600,62600,3021,10.9
1993-Jan,190,15848090,83400,67600,3216,11.5
Feb,205,14639665,71400,57700,3292,11.7
Mar,281,23745343,84500,67400,3441,12.3
Apr,320,24047360,75100,66100,3469,12.3
May,340,29304940,86200,66600,3497,12.3
Jun,392,34359348,87700,71700,3445,11.9
